,TranslatedIngredients
916,"grams Boneless chicken,Potato (Aloo),Beetroot,Coriander (Dhania) Leaves,Curry leaves,Green Chillies,teaspoon Ginger Garlic Paste,teaspoon Cumin seeds (Jeera),teaspoon Garam masala powder,teaspoon Red Chilli powder,Salt,teaspoon Whole Black Peppercorns,Sunflower Oil,cup Whole Wheat Bread crumbs"
917,"cups pasta,tsp olive oil,button mushrooms,/ cup sweet corn,salt,tbsp olive oil,basil,cloves garlic,onion,tsp red chilli flakes,salt,/ tsp sugar,tsp black pepper powder,sprig rosemary,/ cup tomato puree,cup mozzarella cheese"
918,"tablespoons Black Rice,Stalk Lemon Grass,tablespoon Soy sauce,Onion,cloves Garlic,inch Ginger,teaspoon Lemon juice,Fresh Red chillies,grams Tofu,Salt and Pepper,Whole Eggs,Onion,sprigs Coriander (Dhania) Leaves,sprigs Spring Onion Greens"
919,"Pani Puris,Potatoes (Aloo),/ cup Mango (Raw),teaspoon Chaat Masala Powder,teaspoon Lemon juice,Onions,/ cup Curd (Dahi / Yogurt),Black Salt (Kala Namak),tablespoon Sugar,Red Chilli powder,Chaat Masala Powder,/ cup Green Chutney (Coriander & Mint),/ cup Sweet Chutney (Date & Tamarind),cup Sev"
920,"grams Pasta,cloves Garlic,teaspoon Ginger,tablespoon Mixed Herbs (Dried),Onion,Tomato,Carrot (Gajjar),Green beans (French Beans),Green Bell Pepper (Capsicum),grams Rajma (Large Kidney Beans),tablespoon Extra Virgin Olive Oil,tablespoon Butter,teaspoon Black pepper powder,/ teaspoon Red Chilli flakes,Salt,Coriander (Dhania) Leaves"
921,"cups Mixed vegetables,ml Coconut milk,ml Chilled water,Thai basil leaves,Stalks Lemongrass,Galangal,Onion,Dry Red Chilli,Kaffir lime leaves,cloves Garlic,tablespoon Coriander (Dhania) Leaves,teaspoon Cumin seeds (Jeera),/ teaspoon Turmeric powder (Haldi),/ teaspoon Thai Red Curry Paste,Salt"
922,"cup Arborio rice,tablespoons Butter,/ cup Onions,cloves Garlic,liter Vegetable stock,/ cup Red Yellow and Green Bell Peppers (Capsicum),Button mushrooms,tablespoons Fresh cream,/ cup Cheese,Salt,Black pepper powder,Dried oregano"
923,"cup Thandai Powder,Saffron strands,tablespoons Basmati rice,liter Milk,Sugar,tablespoons Condensed Milk,tablespoon Badam (Almond),tablespoon Pistachios,tablespoon Cashew nuts,Rose Petals,teaspoon Cardamom Powder (Elaichi),Mixed nuts,tablespoons Milk,tablespoon Badam (Almond),tablespoon Cashew nuts,tablespoon Pistachios,teaspoon Poppy seeds,teaspoon Cardamom (Elaichi) Pods/Seeds,inch Cinnamon Stick (Dalchini),/ teaspoon Whole Black Peppercorns"
924,"cup Rice,cup Green beans,Carrot (Gajjar),Broccoli,Green peas (Matar),cup Coconut milk,cups Water,/ teaspoon Ginger,Whole Black Peppercorns,Stock Lemongrass,teaspoon Sunflower Oil,Salt"
925,"cups Black beans,Onion,Tomato,cup Cheddar cheese,/ teaspoon Cumin powder (Jeera),/ teaspoon Black pepper powder,Salt,tablespoon Extra Virgin Olive Oil,Tortillas"
926,"cups Whole Wheat Flour,/ cup Curd (Dahi / Yogurt),Salt,Sunflower Oil,Potatoes (Aloo),teaspoon Red Chilli powder,/ teaspoon Turmeric powder (Haldi),teaspoon Garam masala powder,teaspoon Amchur (Dry Mango Powder),teaspoon Cumin powder (Jeera),Green Chilli,Salt"
927,"grams Paneer,capsicum (green),onion,inch ginger,green chillies,tomato,small Spoon cumin seeds,/ teaspoon turmeric powder,/ teaspoon red chilli powder,sprig coriander,salt,tablespoon butter"
928,"cups Macaroni pasta,cup Spinach,/ teaspoon Sunflower Oil,/ cup Parmesan cheese,/ cup Milk,tablespoon Butter,tablespoon Black pepper powder,Salt"
929,"Baby corn,tablespoons Corn flour,Green bell peppers,Spring Onion (Bulb & Greens),Green Chillies,cloves Garlic,inch Ginger,teaspoon Red Chilli sauce,tablespoon Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce),teaspoon Dark soy sauce,Salt and Pepper,Spring Onion Greens"
930,"grams Kaddu (Parangikai/ Pumpkin),Shallots,Green Chilli,Cinnamon Stick (Dalchini),teaspoon Methi Seeds (Fenugreek Seeds),teaspoon Turmeric powder (Haldi),teaspoon Black pepper powder,/ teaspoon Red Chilli powder,/ teaspoon Sugar,cup Coconut milk,Salt,cloves Garlic,teaspoons Mustard seeds"
931,"Basa fish,teaspoon Vinegar,teaspoon Dark soy sauce,/ teaspoon Black pepper powder,tablespoon Sesame (Gingelly) Oil,teaspoons Garlic,teaspoon Ginger,Spring Onion (Bulb & Greens),Dry Red Chilli,Whole Black Peppercorns,teaspoon Dark soy sauce,teaspoon Vinegar,tablespoon Corn flour"
932,"/ cup white peas (dry),/ onion,tablespoons coconut,dry red chillies,/  teaspoon coriander seeds,long,inch tamarind,/ teaspoon turmeric powder,salt"
933,"cup Instant Oats (Oatmeal),cup Brown Sugar (Demerara Sugar),tablespoon Blueberries,Badam (Almond),/ cup Ghee,teaspoon All spice powder"
934,"/ cup rajma,/ cup green moong dal,/ cup black gram,/ cup arhar dal,/ cup dried peas,teaspoon cumin seeds,teaspoon mustard,teaspoon Celery,teaspoon fennel,teaspoon coriander powder,teaspoon cumin powder,teaspoon red chilli,tablespoons oil,salt,cup tomatoes,/ cup onion  cloves garlic,inch ginger"
935,"/ cup All Purpose Flour (Maida),/ cup Whole Wheat Flour,/ tablespoon Ajwain (Carom seeds),/ tablespoon Black pepper corns,pinch Asafoetida (hing),pinch Turmeric powder (Haldi),Salt,tablespoon Ghee,tablespoon Sunflower Oil,Water,teaspoon Chaat Masala Powder"
937,"cups Coriander (Dhania) Leaves,Green Bell Pepper (Capsicum),Rusk,cloves Garlic,Green Chillies,tablespoon Raw Peanuts (Moongphali),tablespoon Sugar,teaspoons Lemon juice,Salt"
938,"/ cup Foxtail Millet,/ cup Jowar Seeds,/ cup White Urad Dal (Whole),tablespoons Methi Seeds (Fenugreek Seeds),Onion,Green Chilli,inch Ginger,cloves Garlic,teaspoon Mustard seeds,teaspoon White Urad Dal (Split),sprig Curry leaves,sprig Coriander (Dhania) Leaves,tablespoons Fresh coconut,Salt"
939,"ml Milk,Whole Wheat Brown Bread,/ cup Sugar,/ cup Water,/ teaspoon Cardamom Powder (Elaichi),tablespoon Cashew nuts,tablespoon Badam (Almond),tablespoon Pistachios,Saffron strands,/ teaspoon Rose water,Ghee"
940,"grams Jowar Seeds,grams Ragi Seeds,grams Rice,grams Wheat Germ,grams Bajra (seeds),grams Green Moong Dal (Whole),grams Masoor Dal (Whole),grams Kala Chana (Brown Chickpeas),grams Moth Dal (Matki),grams Soybeans (Whole Soya dal),tablespoon Coriander (Dhania) Seeds,tablespoon Cumin seeds (Jeera)"
941,"cups Hakka Noodles,tablespoon Extra Virgin Olive Oil,/ cup Cabbage (Patta Gobi/ Muttaikose),cloves Garlic,teaspoon Ginger,tablespoons Soy sauce,tablespoons Red Chilli sauce,teaspoon Black pepper powder,Salt,tablespoon Extra Virgin Olive Oil,cloves Garlic,Red Bell pepper (Capsicum),Fresh Red chillies,Onion,Salt,cup Mixed vegetables,Green Bell Pepper (Capsicum),Button mushrooms,tablespoon Sunflower Oil,Salt,teaspoon Black pepper powder"
942,"Whole Eggs,cup Spinach,/ cup Red Bell pepper (Capsicum),Green Bell Pepper (Capsicum),Green Chillies,/ cup Spring Onion Greens,/ tablespoon Black pepper powder,/ tablespoon Chaat Masala Powder,Salt,to  tablespoons Cheese,Sunflower Oil"
943,"grams Mango (Raw),grams Jaggery,tablespoons Kashmiri Red Chilli Powder,tablespoons Cumin seeds (Jeera),Salt"
944,"Green zucchini,Yellow Zucchini,Carrots (Gajjar),Potatoes (Aloo),cup Whole Wheat Bread crumbs,teaspoon Italian seasoning,/ teaspoon Garlic powder,Egg white,/ teaspoon Black pepper powder,teaspoon Red Chilli flakes,Salt"
945,"cups Avarekai (Broad Beans),Onion,to  Green Chillies,inch Ginger,teaspoon Garlic,Lemon juice,pinch Asafoetida (hing),/ teaspoon Turmeric powder (Haldi),Salt,teaspoon Mustard seeds,/ teaspoon White Urad Dal (Split),Curry leaves"
946,"/ cup Rice flour,tablespoons Jaggery,cup Water,/ cup Yellow Moong Dal (Split),cup Milk,/ cup Jaggery,teaspoon Cardamom Powder (Elaichi),/ cup Coconut milk,tablespoon Ghee,Cashew nuts"
947,"cup Water,/ cup Sugar,cup Vivatta Maida,/ teaspoon Salt,/ cup Ghee,Sunflower Oil,tablespoons Sugar,teaspoon Cinnamon Powder (Dalchini)"
948,"/ cup Green Moong Dal (Whole),/ cup Jaggery,/ cup Water,/ cup Fresh coconut,teaspoon Cardamom Powder (Elaichi),Sunflower Oil,tablespoons Corn flour,tablespoons Rice flour,/ teaspoon Turmeric powder (Haldi),Salt,Water"
950,"Mooli/ Mullangi (Radish),cup Mooli Ke Patte (Radish Greens),teaspoon Mustard oil,/ teaspoon Ajwain (Carom seeds),/ teaspoon Asafoetida (hing),/ teaspoon Ginger,Green Chillies,/ teaspoon Turmeric powder (Haldi),/ teaspoon Red Chilli powder,Salt"
951,"/ cup Green Moong Dal (Whole),/ cup Broken Raw Rice,/ cup Instant Oats (Oatmeal),Methi Seeds (Fenugreek Seeds),Green Chillies,inch Ginger,/ cup Coriander (Dhania) Leaves,Salt,Ghee,/ Yellow Bell Pepper (Capsicum),/ Red Bell pepper (Capsicum),/ Green Bell Pepper (Capsicum),Onion,grams Paneer (Homemade Cottage Cheese),/ cup Tomato Ketchup,/ cup Red Chilli sauce,tablespoons Coriander (Dhania) Leaves,Mixed Herbs (Dried),Salt,Mozzarella cheese"
952,"cup Broccoli,Onion,/ cup Red Bell pepper (Capsicum),/ cup Yellow Bell Pepper (Capsicum),teaspoons Veeba Harissa Sauce,teaspoon Brown Sugar (Demerara Sugar),teaspoon Vinegar,teaspoons Extra Virgin Olive Oil,Salt"
953,"/ cup green peas,cups gram flour,/ cup onion,tablespoon green chili,teaspoon ginger,teaspoon garam masala powder,/ teaspoon Black pepper powder,teaspoon cumin powder,teaspoon coriander powder,teaspoon red chili powder,salt,oil"
954,"/ cup Badi (wadi),grams Fresh green chickpeas,/ cup Homemade tomato puree,inch Ginger,cup Curd (Dahi / Yogurt),/ teaspoon Asafoetida (hing),teaspoon Coriander Powder (Dhania),teaspoon Turmeric powder (Haldi),teaspoon Red Chilli powder,Salt,Sunflower Oil,Coriander (Dhania) Leaves"
955,"cups Hung Curd,radish,/ tsp red chilli powder,tsp cumin powder,green chilli,green coriander,salt"
956,"cup Makki Ka Atta (Yellow Corn Meal Flour),/ cup Whole Wheat Flour,Salt,Whole Eggs,Onion,cloves Garlic,Salt,Black pepper powder,Onion,Red Bell pepper (Capsicum),Green bell peppers,teaspoon Red Chilli powder,teaspoon Cumin powder (Jeera),cloves Garlic,teaspoon Dried oregano,Salt,Tomatoes,Onion,cloves Garlic,/ teaspoon Sugar,teaspoon Red Chilli flakes,teaspoon Dried oregano,Salt,cup Hung Curd (Greek Yogurt),Lemon juice"
957,"cups Baby spinach,/ cup Walnuts,/ cup Raisins,Apple,tablespoons Sunflower seeds,tablespoons Sunflower Oil,tablespoon Lemon juice,Salt,/ teaspoon Black pepper powder,tablespoon Dijon Mustard,tablespoons Honey"
958,"/ kg Bhindi (Lady Finger/Okra),Garlic,Cashew nuts,tablespoon Fresh coconut,Curry leaves,teaspoon Red Chilli powder,/ teaspoon Mustard seeds,/ teaspoon Cumin seeds (Jeera),/ teaspoon Chana dal (Bengal Gram Dal),Dry Red Chilli,tablespoon Sunflower Oil"
959,"Green zucchini,cup Homemade Pizza And Pasta Sauce,Onion,tablespoon Basil leaves,Extra Virgin Olive Oil,tablespoon Dried oregano,cup Mozzarella cheese,/ cup Paneer (Homemade Cottage Cheese),/ teaspoon Garlic,Salt,Black pepper powder"
960,"grams Mutton,cup Chana dal (Bengal Gram Dal),/ teaspoon Turmeric powder (Haldi),cloves Garlic,inch Ginger,Green Chillies,Onion,/ cup Mint Leaves (Pudina),Salt,tablespoons Ghee,Dry Red Chillies,tablespoon Black pepper powder,Cloves (Laung),inch Cinnamon Stick (Dalchini),Cardamom (Elaichi) Pods/Seeds,teaspoon Fennel seeds (Saunf),teaspoon Ajwain (Carom seeds)"
961,"cups Spinach Leaves (Palak),/ cup Arhar dal (Split Toor Dal),Onion,Tomato,grams Tamarind,teaspoon Turmeric powder (Haldi),teaspoon Jaggery,Salt,/ cup Fresh coconut,tablespoon Coriander (Dhania) Seeds,Dry Red Chillies,teaspoon Mustard seeds,cloves Garlic,Sunflower Oil"
962,"cup millet flour,cup wheat flour,teaspoons of Kalonji seeds,teaspoon green chilli,teaspoon garlic,tablespoons butter,salt,tablespoons curd,water,oil"
963,"cup Whole Wheat Flour,cup All Purpose Flour (Maida),tablespoon Garlic,tablespoons Butter,tablespoons Curd (Dahi / Yogurt),/ cup Milk,/ teaspoon Baking powder,/ teaspoon Baking soda,tablespoons Coriander (Dhania) Leaves,Salt"
964,"cup Condensed Milk,cup Dessicated Coconut,tablespoon Rose water,tablespoons Pistachios,Ghee"
965,"cup Whole Wheat Flour,teaspoon Baking powder,/ teaspoon Salt,Whole Eggs,teaspoon Vanilla Extract,/ cup Curd (Dahi / Yogurt),tablespoon Sunflower Oil,Maple syrup,Fresh fruits"
966,"grams Conchiglie Pasta,Avocados,/ cup Parsley leaves,cloves Garlic,tablespoons Lemon juice,Salt,Whole Black Peppercorns,/ cup Extra Virgin Olive Oil,cup Tomatoes,/ cup Del Monte Whole Corn Kernels"
967,"Apple,/ cup Purple cabbage,Potato (Aloo),Walnuts,teaspoon Dried oregano,tablespoon Red Chilli flakes,tablespoon Honey,tablespoon Tabasco Original,/ cup Hung Curd (Greek Yogurt),Stalks Spring Onion (Bulb & Greens),Lemon,Salt"
968,"grams Colocasia root (Arbi),Sunflower Oil,/ teaspoon Mustard seeds,/ teaspoon Asafoetida (hing),Green Chilli,tablespoon Ginger Garlic Paste,Onion,/ cup Curd (Dahi / Yogurt),teaspoon Red Chilli powder,/ teaspoon Turmeric powder (Haldi),teaspoon Coriander Powder (Dhania),Salt,Water,Coriander (Dhania) Leaves"
969,"/ cup Kabuli Chana (White Chickpeas),/ cup Kabuli Chana (White Chickpeas),Onion,cloves Garlic,tablespoons Parsley leaves,tablespoons Coriander (Dhania) Leaves,/ teaspoon Cumin powder (Jeera),teaspoon Coriander Powder (Dhania),tablespoon Lemon juice,Dry Red Chillies,/ teaspoon Whole Black Peppercorns,Sun Dried Tomatoes,Salt,Cauliflower (gobi),cups Kaddu (Parangikai/ Pumpkin),Red onion,Green olives,/ cup Beetroot,Mooli/ Mullangi (Radish),Lettuce leaves,tablespoon Extra Virgin Olive Oil,tablespoon Lemon juice,Black pepper powder,Salt,tablespoon Tahini,/ Garlic,teaspoons Lemon juice,Black pepper powder,Salt"
970,"Make  cup green gram,cup sugar,/ cup ghee,cardamom,teaspoon ghee,pistachios,kilograms"
971,"cups All Purpose Flour (Maida),teaspoons Active dry yeast,/ cup Curd (Dahi / Yogurt),Salt,/ teaspoon Sugar,cloves Garlic,tablespoon Butter,Lukewarm Water,cloves Garlic,teaspoons Coriander (Dhania) Leaves,teaspoon Mint Leaves (Pudina),tablespoon Butter"
972,"cup arhar dal,/ cup tamarind paste,green chillies,cloves garlic,salt,tablespoon oil,teaspoon mustard,curry leaves,green Coriander"
973,"Brinjal (Baingan / Eggplant),Tomatoes,tablespoon Sunflower Oil,teaspoon Cumin seeds (Jeera),/ teaspoon Asafoetida (hing),/ teaspoon Turmeric powder (Haldi),teaspoon Dry ginger powder,teaspoon Kashmiri Red Chilli Powder,/ cup Water,Salt"
974,"grams Methi Leaves (Fenugreek Leaves),Brinjal (Baingan / Eggplant),inch Ginger,Onion,Tomato,Green Chillies,teaspoon Turmeric powder (Haldi),teaspoon Garam masala powder,teaspoon Coriander Powder (Dhania),tablespoon Butter,teaspoon Red Chilli powder,Salt,tablespoon Sunflower Oil,/ cup Anardana Powder (Pomegranate Seed Powder)"
976,"cups Broken Raw Rice,cup Fresh coconut,Salt,Sunflower Oil,tablespoon Coriander (Dhania) Seeds,teaspoon Methi Seeds (Fenugreek Seeds),teaspoon Cumin seeds (Jeera),Dry Red Chillies"
977,"grams Spaghetti Pasta,/ cup Green Olive Pesto,Whole Black Peppercorns,/ cup Parmesan cheese,teaspoon Lemon zest,/ cup Green olives,tablespoons Extra Virgin Olive Oil,Lemon juice"
978,"Tomatoes,Onion,Green Chillies,cloves Garlic,teaspoon Turmeric powder (Haldi),teaspoon Red Chilli powder,Salt,/ teaspoon Mustard seeds,sprig Curry leaves,/ teaspoon Mustard oil,Bay leaves (tej patta),Cloves (Laung),inch Cinnamon stick"
979,"/ cup Cooked rice,cup Curd (Dahi / Yogurt),tablespoon Sugar,tablespoon Milk,teaspoon Cardamom Powder (Elaichi),tablespoon Cashew nuts,Saffron strands"
980,"Carrot (Gajjar),Green bell peppers,Onion,Green Chilli,tablespoons Roasted tomato pasta sauce,cloves Garlic,/ cup Brown Rice,Pickled Jalapenos,teaspoon Red Chilli flakes,teaspoon Red Chilli powder,/ teaspoon Dry ginger powder,teaspoon Black pepper powder,Salt,cup Whole Wheat Flour,/ teaspoon Salt,/ teaspoon Baking powder,tablespoon Butter"
981,"cup Sooji (Semolina/ Rava),/ cup All Purpose Flour (Maida),tablespoon Ghee,Sunflower Oil,Rose Petals,grams Badam (Almond),grams Cashew nuts,grams Sultanas,tablespoon Gulkand,/ teaspoon Cardamom Powder (Elaichi),cup Fresh coconut,tablespoons Sugar,cups Milk,tablespoons Sugar,Saffron strands,cup Milk,tablespoons Sugar,Saffron strands,grams Badam (Almond)"
982,"cups Rice rava,cup Fresh Green Toor Dal (Pigeon Pea),tablespoons Fresh coconut,teaspoon Mustard seeds,teaspoon White Urad Dal (Split),teaspoon Chana dal (Bengal Gram Dal),/ teaspoon Asafoetida (hing),Dry Red Chillies,sprig Curry leaves,tablespoon Sunflower Oil,Salt,tablespoons Arhar dal (Split Toor Dal),teaspoons Cumin seeds (Jeera),teaspoon Whole Black Peppercorns"
983,"Potato (Aloo),Onion,Tomatoes,Bay leaf (tej patta),inch Cinnamon Stick (Dalchini),teaspoon Ginger Garlic Paste,/ teaspoon Turmeric powder (Haldi),teaspoon Red Chilli powder,teaspoon Coriander Powder (Dhania),/ teaspoon Garam masala powder,tablespoon Sunflower Oil,Salt,teaspoon Fennel seeds (Saunf),teaspoon Cumin seeds (Jeera),/ cup Fresh coconut"
984,"Small Brinjal (Baingan / Eggplant),cup Kasuri Methi (Dried Fenugreek Leaves),cup Dill leaves,cloves Garlic,Green Chillies,inch Ginger,Tomatoes,tablespoon Mustard oil,/ teaspoon Mustard seeds,/ teaspoon Fennel seeds (Saunf),/ teaspoon Cumin seeds (Jeera),pinch Asafoetida (hing),Salt"
985,"cups Moth Dal (Matki),Onion,Tomatoes,cloves Garlic,inch Ginger,teaspoon Red Chilli powder,/ teaspoon Turmeric powder (Haldi),. tablespoons Maharashtrian Goda Masala,teaspoon Mustard seeds,/ teaspoon Cumin seeds (Jeera),sprig Curry leaves,sprig Coriander (Dhania) Leaves,tablespoon Sunflower Oil,Salt"
986,"grams Britannia Cheese Spread - Classic,/ cup Caster Sugar,/ teaspoon Vanilla Extract,Whole Egg,/ cup Butter (unsalted),cups Dark chocolate,/ cup Caster Sugar,teaspoon Vanilla Extract,large Whole Eggs,/ cup All Purpose Flour (Maida),/ teaspoon Salt"
987,"Potatoes,teaspoon celery,onions,inches ginger,long garlic,tomatoes,/ teaspoon turmeric powder,/ small Spoon garam masala powder,teaspoon coriander powder,/ teaspoon Kashmiri red chilli powder,sprig coriander,salt,oil"
988,"Karela (Bitter Gourd/ Pavakkai),Brinjal (Baingan / Eggplant),Onion,/ teaspoon Mustard seeds,/ teaspoon Cumin seeds (Jeera),/ teaspoon Methi Seeds (Fenugreek Seeds),/ teaspoon Turmeric powder (Haldi),/ teaspoon Red Chilli powder,teaspoon Amchur (Dry Mango Powder),Salt,tablespoons Sunflower Oil"
989,"Green zucchini,Brinjal (Baingan / Eggplant),Potatoes (Aloo),Carrots (Gajjar),Onions,cup Cauliflower (gobi),/ cup White broad beans,Tomatoes,cloves Garlic,Stalks Celery,sprig Parsley leaves,Black pepper powder,Salt,tablespoons Extra Virgin Olive Oil"
990,"cups Bottle gourd (lauki),/ cup Yellow Moong Dal (Split),/ teaspoon Turmeric powder (Haldi),/ cup Fresh coconut,teaspoon Cumin seeds (Jeera),Red Chilli powder,teaspoon Sunflower Oil,/ teaspoon Mustard seeds,teaspoon White Urad Dal (Split),Dry Red Chilli,pinch Asafoetida (hing),sprig Curry leaves"
991,"cup Black Eyed Beans (Lobia),/ cup Arhar dal (Split Toor Dal),Onion,Tomato,teaspoon Sambar Powder,teaspoon Red Chilli powder,/ teaspoon Turmeric powder (Haldi),teaspoon Salt,cloves Garlic,/ cup Coriander (Dhania) Leaves,tablespoons Sunflower Oil,/ teaspoon Asafoetida (hing),Dry Red Chilli,/ teaspoon Methi Seeds (Fenugreek Seeds),teaspoon Mustard seeds,teaspoon White Urad Dal (Split)"
992,"cup Broken Wheat (Dalia/ Godumai Rava),cup Brown Sugar (Demerara Sugar),cup Jaggery,tablespoon Ghee,teaspoon Cardamom Powder (Elaichi)"
993,"okra,green chillies,/ cup curd,sprig curry leaves,/ cup coconut,/ teaspoon cumin seeds,/ teaspoon mustard,dry red chili,teaspoons oil,salt"
994,"cup Apple,/ cup Instant Oats (Oatmeal),/ cup Jaggery,/ teaspoon Cinnamon Powder (Dalchini),/ teaspoon Ginger,/ teaspoon Nutmeg powder,teaspoon Vanilla Extract,cups Water,cup Milk,Hazelnut,Raisins,Sesame seeds (Til seeds),Apple"
995,"/ cup Yellow Moong Dal (Split),teaspoon Turmeric powder (Haldi),cup Cauliflower (gobi),tablespoons Green peas (Matar),/ Green beans (French Beans),/ cup Kaddu (Parangikai/ Pumpkin),inch Ginger,/ teaspoon Cumin seeds (Jeera),Bay leaf (tej patta),/ inch Cinnamon Stick (Dalchini),Cloves (Laung),Cardamom (Elaichi) Pods/Seeds,Dry Red Chillies,teaspoon Sugar,tablespoon Ghee,Salt"
996,"cups Idli Dosa Batter,cup Kaddu (Parangikai/ Pumpkin),/ cup Carrots (Gajjar)"
997,"/ cup Quinoa,/ cup Instant Oats (Oatmeal),cups Oat bran,cups Wheat Bran,cups Peanut Butter,cup Honey,cups Cranberries,cups Badam (Almond)"
998,"Sunflower Oil,teaspoon Cumin seeds (Jeera),/ teaspoon Asafoetida (hing),Onion,Green Chillies,Spring Onion Greens,cup Gram flour (besan),Coriander (Dhania) Leaves,teaspoon Red Chilli powder,teaspoon Turmeric powder (Haldi),Salt"
999,"Green zucchini,Red Bell pepper (Capsicum) - de,Onion,cloves Garlic,teaspoon Fresh Thyme leaves,teaspoon Dried oregano,teaspoon Red Chilli flakes,tablespoon Extra Virgin Olive Oil,Salt"
1000,"grams turmeric,tablespoon gram flour,/ cup curd,inch ginger,green chillies,teaspoon coriander powder,/ teaspoon garam masala powder,Coriander,salt,black pepper powder,sprig curry leaves,teaspoon mustard"
1001,"grams Chicken breasts,cup Pearl onions (Sambar Onions),cloves Garlic,Dry Red Chilli,teaspoon Red Chilli powder,/ teaspoon Turmeric powder (Haldi),sprig Curry leaves,sprig Coriander (Dhania) Leaves,Salt,Coconut Oil"
1002,"cabbage,cloves garlic,bay leaf,cardamom,/ teaspoon whole black pepper,/ teaspoon red chilli powder,/ teaspoon turmeric Powder,cup tomato puree,/ cup coconut milk,salt,sprigs of coriander,oil"
1003,"Sweet Potatoes,tablespoon Extra Virgin Olive Oil,cloves Garlic,teaspoon Paprika powder,tablespoon Fresh Herbs,tablespoon Corn flour,Rock Salt"
1004,"raw mango,cucumber,/ cup peanut,salt"
1005,"Whole Wheat Brown Bread,/ cup Ghee,cup Rabri,Mixed nuts,/ cup Sugar,/ cup Water,teaspoon Cardamom Powder (Elaichi),Saffron strands"
1007,"Potatoes (Aloo),teaspoon Sesame (Gingelly) Oil,tablespoon Sesame (Gingelly) Oil,Dry Red Chillies,tablespoon Chana dal (Bengal Gram Dal),tablespoon White Urad Dal (Split),tablespoon Arhar dal (Split Toor Dal),Asafoetida (hing),Salt"
1008,"Mango (Ripe),Avocado,cup Kabuli Chana (White Chickpeas),cup Red Romaine lettuce,Lemon juice,tablespoon Extra Virgin Olive Oil,Dry Red Chilli,Salt and Pepper"
1009,"cup Green Moong Sprouts,/ cup Tofu,/ cup Sweet Potato,/ cup Onions,/ cup Cucumber,Cherry tomatoes,tablespoons Coriander (Dhania) Leaves,Green Chilli,tablespoon Lemon juice,tablespoon Green Chutney (Coriander & Mint),teaspoon Sweet Chutney (Date & Tamarind),Salt,tablespoons Lemon juice,/ teaspoon Chaat Masala Powder,/ teaspoon Cumin powder (Jeera),/ teaspoon Coriander Powder (Dhania),/ teaspoon Red Chilli powder,Fresh Pomegranate Fruit Kernels,Sev,to  Lettuce leaves"
1010,"Brinjal (Baingan / Eggplant),teaspoon Poppy seeds,teaspoon Yellow mustard seeds,/ cup Curd (Dahi / Yogurt),Green Chilli,inch Ginger,/ teaspoon Turmeric powder (Haldi),teaspoon Cumin powder (Jeera),teaspoon Red Chilli powder,pinch Sugar,Salt,Mustard oil"
1011,"grams Chicken,Onions,Onions,/ tablespoon Ginger,/ tablespoon Garlic,grams Curd (Dahi / Yogurt),grams Cashew nuts,teaspoon Turmeric powder (Haldi),teaspoon Cumin powder (Jeera),/ teaspoon Red Chilli powder,/ tablespoon Kashmiri Red Chilli Powder,Green Chillies,Salt,tablespoons Sugar,Sunflower Oil,tablespoon Ghee,/ cup Milk,/ teaspoon Rose water,Cloves (Laung),Cardamom (Elaichi) Pods/Seeds,/ inch Cinnamon Stick (Dalchini),/ Nutmeg,Cardamom (Elaichi) Pods/Seeds,/ Mace (Javitri),Black cardamom (Badi Elaichi)"
1012,"/ cups Whole Wheat Flour,/ cup All Purpose Flour (Maida),grams Butter,/ teaspoon Salt,tablespoons Chilled water,teaspoon Fresh Thyme leaves,teaspoon Parsley leaves,Carrots (Gajjar),Green beans (French Beans),/ cup Green peas (Matar),/ cup Corn Kernels,Button mushrooms,Onion,cloves Garlic,/ cup Broccoli,Red Bell pepper (Capsicum),Yellow Bell Pepper (Capsicum),Potato (Aloo),tablespoon Whole Wheat Flour,/ cups Vegetable stock,Bay leaves (tej patta),tablespoon Worcestershire sauce,tablespoon Tabasco Original - Hot Sauce,/ cup Fresh cream,teaspoon Butter,teaspoon Sunflower Oil,sprig Fresh Thyme leaves,sprig Parsley leaves,Salt,Whole Egg"
1013,"cups Broccoli,Sweet Potato,/ teaspoon Cumin powder (Jeera),teaspoon Turmeric powder (Haldi),Salt,/ teaspoon Kalonji (Onion Nigella Seeds),teaspoon Sunflower Oil,teaspoon Red Chilli powder,Salt"
1014,"cup Classic Alfredo Pasta Sauce,cloves Garlic,cup Button mushrooms,cup Broccoli,teaspoon Dried oregano,teaspoon Red Chilli flakes,Salt and Pepper"
1015,"Badi hari mirch (Large Green Chilli),tablespoon Roasted Gram Dal (Pottukadalai),teaspoon Red Chilli powder,teaspoon Cumin powder (Jeera),teaspoon Ajwain (Carom seeds),teaspoon Chaat Masala Powder,grams Tamarind,pinch Asafoetida (hing),Salt,cup Gram flour (besan),/ cup Rice flour,teaspoon Red Chilli powder,teaspoon Enos fruit salt,pinch Asafoetida (hing),Salt,Sunflower Oil,Onion,sprig Coriander (Dhania) Leaves"
1016,"cup Quinoa,Onion,cloves Garlic,Green Chilli,inch Cinnamon stick,Cloves (Laung),Cardamom (Elaichi) Pods/Seeds,/ Mint Leaves (Pudina),Salt,teaspoon Ghee"
