,TranslatedIngredients
1581,"potatoes,reen peas,onion,inchinger,tomato,cumin seeds,green chillies,aram masala powder,turmeric powder,red chilli powder,kasoori methi,salt,sugar,nutralite classic spread"
1582,"whole wheat brown bread,sugar,water,ghee,s milk,condensed milk,thandai masala,badam (almond),pistachios"
1583,"kaddu (parangikai/ pumpkin),colocasia root (arbi),elephant yam (suran/senai/ratalu),plantain stem,kala chana (brown chickpeas),badi (wadi),rohu fish,coriander (dhania) seeds,fennel seeds (saunf),cloves (laung),cumin seeds (jeera),whole black peppercorns,inch cinnamon stick (dalchini),turmeric powder (haldi),panch phoran masala,onion,ingerarlic paste,salt,sunflower oil,water"
1585,"guava,s curd (dahi / yogurt),salt,mustard seeds,white urad dal (split),spricurry leaves,dry red chilli,asafoetida (hing),sunflower oil"
1586,"spaghetti pasta,clovesarlic,extra virgin olive oil,red chilli flakes,mixed herbs (dried),kaddu (parangikai/ pumpkin),spinach leaves (palak),walnuts,salt"
1587,"instant oats (oatmeal),bakinsoda,ripe bananas,bakinpowder,vanilla extract,salt,buttermilk,sugar,butter,strawberries,chocolate sauce"
1588,"onions,inger,arlic,green chillies,bay leaves (tej patta),cardamom (elaichi) pods/seeds,inch cinnamon stick,cloves (laung),s basmati rice,salt,mutton,huncurd (greek yogurt),ingerarlic paste,red chilli powder,turmeric powder (haldi),aram masala powder,salt,bay leaves (tej patta),inch cinnamon stick (dalchini),cloves (laung),mace (javitri),dagad phool (/pathar phool/black stone flower),red chilli powder,aram masala powder,tomatoes,mint leaves (pudina),salt,milk,saffron strands,sunflower oil,ghee,s whole wheat flour"
1589,"pita saga,potato (aloo),tomato,onion,brinjal (baingan / eggplant),clovesarlic,green chillies,badi (wadi),mustard seeds,cumin seeds (jeera),turmeric powder (haldi),salt,mustard oil"
1590,"s rice,coriander (dhania) leaves,hee,mint leaves (pudina),star anise,fennel seeds (saunf),bay leaves (tej patta),inch cinnamon stick (dalchini)"
1591,"green chillies,clovesarlic,sunflower oil,mustard seeds,asafoetida (hing),salt"
1592,"s all purpose flour (maida),butter,salt,water,japanese eggplant,green zucchini,yellow zucchini,red bell pepper (capsicum),yellow bell pepper (capsicum),onion,clovesarlic,tomatoes,homemade tomato puree,sprifresh thyme leaves,sugar,extra virgin olive oil,whole black peppercorns,ruyere cheese,salt"
1593,"small brinjal (baingan / eggplant),turmeric powder (haldi),aram masala powder,red chilli powder,jaggery,tamarind paste,tomatoes,salt,black sesame seeds,raw peanuts (moongphali),cumin seeds (jeera),inchinger,clovesarlic,onions,green chillies,ingelly oil,mustard seeds,asafoetida (hing),spricurry leaves"
1594,"all purpose flour (maida),salt,vegetable stock,red chilli sauce,clovesarlic,inchinger,red bell pepper (capsicum),broccoli,sprisprinonion (bulb &reens),homemade hoisin sauce,salt,black pepper powder"
1595,"mangalorean cucumber,fresh coconut,dry red chillies,white urad dal (split),chana dal (bengalram dal),tamarind,jaggery,sunflower oil,mustard seeds,spricurry leaves"
1596,"semolina,onion,inchinger,green chillies,curry leaves,carrot,green beans,rye,white urad dal (split),asafoetida,oil,hee,lemon juice,sugar,salt"
1597,"s dosa rice,black urad dal (split),methi seeds (fenugreek seeds),salt,sunflower oil,red bell pepper (capsicum),tomato,red onion,green chillies,inchinger,clovesarlic,curry leaves,dry red chilli,mustard seeds,cumin seeds (jeera),asafoetida (hing),coriander (dhania) leaves"
1598,"of mutton,bay leaves,salt,onions,tomatoes,milk,hee,almonds,inchinger,budarlic,dry red chillies,inch cinnamon,whole black pepper,long"
1599,"chicken,onion,dry red chilli,inchinger,clovesarlic,turmeric powder (haldi),whole wheat flour,salt,spricoriander (dhania) leaves,mustard oil"
1600,"reen moondal (whole),sunflower oil,mustard seeds,asafoetida (hing),spricurry leaves,salt,onion,dessicated coconut,dry red chillies,clovesarlic,inchinger,cumin seeds (jeera),red chilli powder,turmeric powder (haldi),kokum (malabar tamarind)"
1601,"mint leaves (pudina),cumin seeds (jeera),whole black peppercorns,green chilli,fresh coconut,buttermilk,hee,salt,hee,mustard seeds,cumin seeds (jeera),curry leaves,dry red chilli"
1602,"s all purpose flour (maida),s onion,bakinpowder,salt,spinach,green chillies,clovesarlic,sesame seeds (til seeds),sunflower oil,sunflower oil,curd (dahi / yogurt),milk"
1603,"s makki ka atta (yellow corn meal flour),whole wheat flour,spinach leaves (palak),inchinger,red chilli powder,cumin powder (jeera),salt,sunflower oil"
1604,"beetroot,yellow bell pepper (capsicum),broccoli,extra virgin olive oil,sea salt,egwhites,cheese,dried oregano,extra virgin olive oil"
1605,"reen moondal (split),inchinger,green chillies,salt,potatoes (aloo),red chilli powder,coriander powder (dhania),turmeric powder (haldi),fennel seeds (saunf),lemon juice,coriander (dhania) leaves,asafoetida (hing),salt,sunflower oil"
1606,"tortillas,extra virgin olive oil,potatoes (aloo),clovesarlic,dried oregano,green bell pepper (capsicum),onion,britannia cheese spread,sweet and spicy red chilli sauce (tomato chilli sauce),salt"
1607,"small brinjal (baingan / eggplant),onions,tomato,clovesarlic,inchinger,green chillies,cumin seeds (jeera),coriander (dhania) seeds,methi seeds (fenugreek seeds),salt,sunflower oil,coriander (dhania) leaves"
1608,"betel leaves (paan),onion,clovesarlic,coriander (dhania) seeds,black urad dal (split),chana dal (bengalram dal),cumin seeds (jeera),tamarind,salt,asafoetida (hing),sunflower oil"
1609,"potatoes,inchinger,tomato puree,cumin seeds,mustard,turmeric powder,asafoetida,red chili powder,coriander powder,oil,green coriander,black salt or rock salt,salt,black salt (kala namak),salt"
1610,"jawla fish,onion,fresh coconut,tamarind water,red chilli powder,coconut oil,inger,arlic,salt,brinjal (baingan / eggplant),fresh coconut,dry red chillies,coriander (dhania) seeds,methi seeds (fenugreek seeds),turmeric powder (haldi),lemon juice,onion,sunflower oil,water"
1611,"s raw peanuts (moongphali),water,mustard seeds,white urad dal (split),ssp asafoetida (hing),inchinger,sesame (gingelly) oil,green chillies,spricurry leaves,fresh coconut,salt,coriander (dhania) leaves"
1612,"paneer (homemade cottage cheese),mango (raw),pearl onions (sambar onions),drumstick,sunflower oil,turmeric powder (haldi),coriander powder (dhania),red chilli powder,salt,coconut milk,clovesarlic,green chillies,inchinger,fresh coconut,coconut oil,mustard seeds,dry red chillies,onion,curry leaves"
1613,"white chocolate,condensed milk,maltesers"
1614,"badam (almond),poppy seeds,milk,sugar,pistachios,cardamom powder (elaichi),glazed cherries,saffron strands"
1615,"chicken,ghost chilli peppers (bhut jolokia),onion,inchinger,clovesarlic,hee,hee,turmeric powder (haldi),cumin powder (jeera),coriander powder (dhania),aram masala powder,kashmiri red chilli powder,homemade tomato puree,salt,coriander (dhania) leaves"
1616,"s suran,s water,clovesarlic,onion,turmeric powder,red chilli powder,black pepper powder,fennel powder,oil,mustard,curry leaves"
1617,"cauliflower (gobi),whole eggs,mozzarella cheese,parmesan cheese,dried oregano,dried basil leaves,red chilli flakes,arlic powder,onion powder,homemade basil pesto,homemade marinara sauce,sun dried tomatoes,mozzarella cheese,salt"
1618,"chicken,dry red chillies,green chillies,fennel seeds (saunf),turmeric powder (haldi),salt,sunflower oil,macaroni pasta,onion,ingerarlic paste,green chillies,tomato,aram masala powder,salt,sunflower oil,coriander (dhania) leaves,sunflower oil,coriander (dhania) leaves"
1619,"button mushrooms,sprinonion (bulb &reens),green beans (french beans),carrots (gajjar),red yellow orreen bell pepper (capsicum),baby corn,tofu,bean sprouts,coconut milk,s vegetable stock,rice noodles,soy sauce,sunflower oil,coriander (dhania) leaves,mint leaves (pudina),lemon wedges,sunflower oil,salt,fresh red chillies,dry red chillies,lemonrass,clovesarlic,inchalangal,coriander powder (dhania),cumin powder (jeera),inch fresh turmeric root,pearl onions (sambar onions),cashew nuts"
1620,"s whole wheat flour,bajra flour ( pearl millet),jowar flour (sorghum),sprinonion (bulb &reens),salt,turmeric powder (haldi),cumin powder (jeera),ghee"
1621,"white urad dal (whole),badam (almond),milk,turmeric powder (haldi),salt,onion,tomatoes,cumin seeds (jeera),red chilli powder,green chilli,sunflower oil"
1622,"carrot (gajjar),butter (unsalted),cumin powder (jeera),black pepper powder,salt"
1623,"spinach leaves (palak),green chillies,s whole wheat flour,fennel seeds (saunf),turmeric powder (haldi),cumin powder (jeera),salt,black pepper powder,ghee"
1624,"avocado,whole wheat flour,cocoa powder,bakinpowder,milk,vanilla extract,honey,salt,ghee"
1625,"gram paneer (homemade cottage cheese),fresh cream,milk,turmeric powder (haldi),aram masala powder,whole black peppercorns,salt,sunflower oil,onion,cashew nuts,clovesarlic,inchinger,clovesarlic,sunflower oil,black pepper powder"
1626,"fettuccine pasta,black olives,red bell pepper (capsicum),yellow bell pepper (capsicum),red onion,cherry tomatoes,cucumber,reen romaine lettuce,spribasil leaves,extra virgin olive oil,italian seasoning,whole black peppercorns,red chilli flakes,salt"
1627,"chana dal,onion,s drumstick leaves,mint leaves,reen coriander,dry red chillies,inchinger,clovesarlic,long,cumin seeds,asafoetida,salt,oil"
1628,"whole eggs,onion,green bell pepper (capsicum),inger,clovesarlic,homemade tomato puree,cardamom (elaichi) pods/seeds,turmeric powder (haldi),cumin powder (jeera),red chilli powder,black pepper powder,kasuri methi (dried fenugreek leaves),sunflower oil,butter,salt"
1629,"dry red chillies,methi seeds (fenugreek seeds),lemon juice,mustard oil,mustard seeds,spricurry leaves,asafoetida (hing)"
1631,"idli dosa batter,carrot (gajjar),green chilli,salt,sunflower oil,mustard seeds,curry leaves,inger,idli rice,white urad dal (split),methi seeds (fenugreek seeds)"
1632,"brown rice,olive oil,clovesarlic,reen onion,salt,reen onion leaves of"
1633,"curry leaves,peppermint,lemon,take out   cumin seeds,black salt or rock salt,s water,ice"
1634,"breads,sugar,milk,cream,hee,cardamom powder,dry fruits,chandi's work"
1635,"singhade (water chestnut),salt,turmeric powder (haldi),red chilli powder,mustard powder,fennel seeds (saunf),sugar,sunflower oil,vinegar"
1636,"prawns,fresh coconut,coriander (dhania) seeds,dry red chillies,shallots,clovesarlic,methi seeds (fenugreek seeds),cumin seeds (jeera),turmeric powder (haldi),mustard seeds,curry leaves,tamarind,salt"
1637,"beetroot,spricurry leaves,green chillies,asafoetida (hing),sesame (gingelly) oil,chana dal (bengalram dal),white urad dal (split),fresh coconut,water,salt,sesame (gingelly) oil,mustard seeds,spricurry leaves,asafoetida (hing)"
1638,"prawns,onion,arlic,red chilli powder,aram masala powder,whole eggs,salt,whole wheat bread crumbs,ram flour (besan),sunflower oil,onion"
1639,"inch dryinger powder,kandathipli,arisithipli,dry red chilli,arhar dal (split toor dal),white urad dal (split),chana dal (bengalram dal),dried neem flowers,turkey berries,manathakkali kai vathal,cumin seeds (jeera),mustard seeds,coriander (dhania) seeds,whole black peppercorns,salt,asafoetida (hing)"
1640,"arhar dal,carrot,capsicum (green),tomato,inchinger,turmeric powder,tamarind water,salt,mustard,cumin seeds,asafetida,spricurry leaves,tomato,green chili"
1641,"apple,ripe bananas,pineapple,anardana powder (pomegranate seed powder),potato (aloo),sweet potato,green chilli,spricoriander (dhania) leaves,chaat masala powder,cumin powder (jeera),red chilli powder,salt,lemon juice,ghee"
1642,"arhar dal (split toor dal),mango (raw),turmeric powder (haldi),onion,tomato,clovesarlic,dry red chillies,mustard seeds,curry leaves"
1643,"chicken,s yogurt,lemon juice,salt,inchinger,clovesarlic,black pepper powder,kasuri methi,cream,oil"
1644,"kaddu (parangikai/ pumpkin),pearl onions (sambar onions),mustard seeds,spricurry leaves,green chilli,salt,turmeric powder (haldi),fresh coconut,spricurry leaves,cumin seeds (jeera),green chilli"
1645,"dry kashmiri peppers,fenugreek seeds,clovesarlic,small onions,cumin seeds,turmeric powder,vinegar,water,potatoes,salt,oil,rye,curry leaves,water,sugar"
1646,"coriander (dhania) leaves,mint leaves (pudina),curry leaves,roasted peanuts (moongphali),inchinger,green chillies,sugar,lemon juice,salt,water"
1647,"arhar dal (split toor dal),masoor dal (whole),chana dal (bengalram dal),black urad dal (whole),reen moondal (whole),hee,cumin seeds (jeera),onion,clovesarlic,inchinger,green chillies,bay leaves (tej patta),inch cinnamon stick (dalchini),tomato,turmeric powder (haldi),red chilli powder,asafoetida (hing),salt,lemon,hee,cumin seeds (jeera),dry red chillies"
1648,"s mint leaves (pudina),clovesarlic,inchinger,green chilli,raw peanuts (moongphali),salt,sugar,lemon juice"
1649,"chicken,onions,dry red chillies,clovesarlic,inchinger,white wine vinegar,mustard seeds,sunflower oil,salt,cloves (laung),cardamom (elaichi) pods/seeds,cinnamon powder (dalchini),whole black peppercorns,cumin seeds (jeera)"
1650,"whole wheat flour,sunflower oil,salt,sweet potato,methi leaves (fenugreek leaves),cumin seeds (jeera),inchinger,green chilli,turmeric powder (haldi),red chilli powder,coriander powder (dhania),mustard oil,salt"
1651,"karela (bitterourd/ pavakkai),ram flour (besan),rice flour,jowar flour (sorghum),inger,arlic,reen chilli paste,cookinsoda,turmeric powder (haldi),cumin powder (jeera),aram masala powder,salt,cumin seeds (jeera),mustard seeds,sesame seeds (til seeds),dry red chillies,sunflower oil"
1652,"bourbon biscuits,butter,dark chocolate,butter,cocoa powder,britannia cream cheese,mascarpone cheese,caster sugar,whole eggs,vanilla extract,strawberry compote"
1653,"ripe bananas,all purpose flour (maida),rice flour,corn flour,dessicated coconut,salt,bakinpowder,cardamom powder (elaichi),sunflower oil,rice flour,sesame seeds (til seeds)"
1654,"pohala fish,turmeric powder (haldi),tomatoes,onions,green chillies,clovesarlic,cumin powder (jeera),mustard oil,s water,salt"
1655,"tomatoes,turmeric powder (haldi),red chilli powder,sugar,salt,mustard oil,panch phoran masala,bay leaves (tej patta),dry red chilli"
1656,"star fruit,shrimps,tomato,arlic,dry red chilli,turmeric powder (haldi),sugar,mustard oil,mustard seeds,salt"
1657,"sreen moonsprouts,methi leaves (fenugreek leaves),onion,tomato,turmeric powder (haldi),jaggery,coriander (dhania) leaves,sunflower oil,salt,shallots,clovesarlic,dry red chilli,cumin seeds (jeera)"
1658,"tahini,clovesarlic,lemon juice,extra virgin olive oil,vinegar,salt,black pepper powder,macaroni pasta,red bell pepper (capsicum),salt,black pepper powder"
1659,"white urad dal (whole),green chilli,asafoetida (hing),inchinger,salt,s curd (dahi / yogurt),sugar,fresh coconut,salt,mustard seeds,white urad dal (split),dry red chilli,spricurry leaves,sunflower oil,boondi,coriander (dhania) leaves,red chilli powder,boondi,coriander (dhania) leaves"
1660,"s whole wheat flour,salt,sunflower oil,paneer (homemade cottage cheese),cumin powder (jeera),green chillies,onion,methi leaves (fenugreek leaves),salt"
1661,"arhar dal,urad dal,tomato,inchinger,clovesarlic,turmeric powder,asafetida,inchinger,clovesarlic,cumin seeds,green chilli,mustard oil"
1662,"ciabatta bread,chicken,kashmiri red chilli powder,lemon juice,curd (dahi / yogurt),ingerarlic paste,salt,aram masala powder,mustard oil,butter,chaat masala powder,classic mayonnaise (with egg),reen chutney (coriander & mint),lemon juice,mixed vegetables,green chillies,coriander (dhania) leaves"
1663,"rice,white urad dal (whole),chana dal (bengalram dal),green chillies,inchinger,curd (dahi / yogurt),salt to taste,carrot (gajjar),mint leaves (pudina),onions,green bell pepper (capsicum),britannia cheezza,tomato basil pasta sauce,sweet corn,black olives"
1664,"paneer,potatoes,bay leaves,dry red chillies,panch four masala,tomato,turmeric powder,red chilli powder,cumin seeds,inger,salt,sugar,oil"
1665,"avarekalu / lilva beans,fresh coconut,poppy seeds,jaggery,salt,cloves cardamom (elaichi) pods/seeds,hee,cashew nuts,raisins"
1666,"brinjal (baingan / eggplant),mustard seeds,onion,to reen chillies,turmeric powder (haldi),coriander powder (dhania),fennel seeds (saunf),methi seeds (fenugreek seeds),tomatoes,coconut milk,coconut oil,spricurry leaves,spricoriander (dhania) leaves"
1668,"of strawberries,yogurt,onion,green chili,sugar,cumin powder,salt,pepper powder,coriander,strawberry"
1669,"all purpose flour (maida),chiroti rava,milk powder,bakinsoda,bakinpowder,mixed nuts,salt,sugar,cardamom (elaichi) pods/seeds,mango (ripe),curd (dahi / yogurt),sunflower oil,hot water"
1670,"cheese,tomato puree,onion,clovesarlic,green chili,inchinger,cashews,long,celery,aram masala powder,turmeric powder,coriander powder,red chilli powder,sugar,salt,oil,coriander"
1671,"semolina,mustard,hee,peanuts,cumin seeds,onion,inger,asafetida,white urad dal,green chillies,spricurry leaves,carrot,capsicum (green),tomato,green peas,reen coriander,sweet corn,lemon juice,salt,red chili powder,coriander powder,pomegranate"
1672,"s poha (flattened rice),turmeric powder (haldi),salt and pepper,fresh coconut,coriander (dhania) leaves,green chillies,jaggery,lemon juice,sunflower oil,mustard seeds,white urad dal (split),spricurry leaves"
1673,"carrot (gajjar),water"
1674,"vivatta maida,salt,butter (unsalted),chilled water,sugar,vivatta maida"
1675,"butter (unsalted),caster sugar,dark chocolate,vivatta maida,bakinpowder,salt,bakinsoda,ripe bananas,chocolate chips,flax seed powder (flax meal),chilled water,chilled water"
1676,"s whole wheat flour,active dry yeast,sugar,curd (dahi / yogurt),lukewarm water,salt,sunflower oil,ghee,prune spread,cranberries,black sesame seeds,badam (almond)"
1677,"paneer (homemade cottage cheese),blackrapes,toothpicks,extra virgin olive oil,dill leaves,parsley leaves,canned cherries"
1678,"masoor dal (whole),methi leaves (fenugreek leaves),asafoetida (hing),cumin seeds (jeera),onion,tomato,green chilli,coriander powder (dhania),turmeric powder (haldi),red chilli powder,salt,hee"
1679,"s vivatta maida,s sugar,cocoa powder,bakinpowder,bakinsoda,salt,whole eggs,milk,sunflower oil,vanilla extract,hot water,fl oz britannia cream cheese,whole eggs,fl oz condensed milk,fl oz evaporated milk,vanilla extract"
1680,"whole wheat flour,sooji (semolina/ rava),figaro pure olive oil,ajwain (carom seeds),salt,water,spinach,paneer (homemade cottage cheese),green chillies,aram masala powder,chaat masala powder,salt,figaro pure olive oil"
1681,"brinjal (baingan / eggplant),huncurd (greek yogurt),spricoriander (dhania) leaves,green chilli,salt,mustard seeds,white urad dal (split),chana dal (bengalram dal),asafoetida (hing),dry red chilli,spricurry leaves"
1683,"tomatoes,onions,green chillies,cumin powder (jeera),salt,sugar,coriander (dhania) leaves,tabasco original,homemade tomato puree,makki ka atta (yellow corn meal flour),all purpose flour (maida),salt,water,extra virgin olive oil,chicken breasts,clovesarlic,taco seasoning,cheddar cheese"
1684,"cowpea,tomato puree,cumin seeds,inchinger,green chili,turmeric powder,coriander powder,red chilli powder,sugar,lemon juice,oil,salt,coriander leaves"
1685,"basmati rice,masoor dal (whole),onions,cumin seeds (jeera),black pepper powder,cinnamon powder (dalchini),red chilli powder,badam (almond),lemon juice,salt,sunflower oil,huncurd (greek yogurt),spricoriander (dhania) leaves"
1686,"cardamom powder (elaichi),thin semiya (seviyan),milk,saffron strands,sugar,badam (almond),pistachios"
1687,"papaya,basil leaves,milk,honey,chia seeds,badam (almond)"
1688,"s whole wheat flour,active dry yeast,salt,sugar,clovesarlic,methi leaves (fenugreek leaves),curd (dahi / yogurt),sunflower oil,butter"
1690,"chicken thighs,red chilli powder,turmeric powder (haldi),inchinger,clovesarlic,green chillies,salt,onion,coriander (dhania) leaves,cumin seeds (jeera),inch cinnamon stick (dalchini),whole wheat bread crumbs,sunflower oil"
1691,"spaghetti pasta,clovesarlic,extra virgin olive oil,red chilli flakes,mixed herbs (dried),bacon strips,salt,parmesan cheese,stalk parsley leaves"
1692,"chicken,sunflower oil,onions,green chillies,tomatoes,ingerarlic paste,curd (dahi / yogurt),lemon,chicken masala,salt,coriander (dhania) leaves"
1693,"rice,white urad dal (whole),methi seeds (fenugreek seeds),jaggery,fresh coconut,brown rice,active dry yeast,sugar,salt"
1694,"paneer (homemade cottage cheese),fennel seeds (saunf),green chillies,coriander (dhania) leaves,mint leaves (pudina),tomatoes,inchinger,inch cinnamon stick (dalchini),cardamom (elaichi) pods/seeds,bay leaf (tej patta),aram masala powder,chaat masala powder,fresh cream,salt,butter"
1695,"cocoa powder,s caster sugar,butter (unsalted),whole eggs,vanilla extract,s all purpose flour (maida),bakinpowder,salt,icinsugar"
1696,"chicken,onions,tomato,green chillies,clovesarlic,inchinger,red chilli powder,turmeric powder (haldi),coriander powder (dhania),aram masala powder,curry leaves,s coconut milk,coconut oil,salt"
1697,"awar phali (kothavarangai / cluster beans),kaddu (parangikai/ pumpkin),onion,garlic,dry red chillies,methi seeds (fenugreek seeds),asafoetida (hing),fennel seeds (saunf),coriander powder (dhania),cumin seeds (jeera),mustard seeds,amchur (dry mango powder),roasted peanuts (moongphali),turmeric powder (haldi),sunflower oil,salt,coriander (dhania) leaves"
1698,"s watermelon,arugula leaves,bocconcini cheese,whole black peppercorns,salt,lemon juice"
1699,"strawberries,sugar,lemon juice"
1700,"gram arhar dal (split toor dal),milk,fresh cream,curd (dahi / yogurt),onion,cumin seeds (jeera),red chilli powder,green chillies,clovesarlic,inchinger,cardamom (elaichi) pods/seeds,ghee,salt"
1701,"ram flour (besan),curd (dahi / yogurt),pomegranate juice,red chilli powder,salt,paneer (homemade cottage cheese),fresh coconut,sugar,green chilli,coriander (dhania) leaves,sesame seeds (til seeds),salt,sunflower oil,mustard seeds,asafoetida (hing),green chilli,coriander (dhania) leaves,fresh coconut"
1702,"mixed berries,lemon,sprimint leaves (pudina),s water,ice cubes"
1703,"s idli rice,soybeans (whole soya dal),s white urad dal (whole),methi seeds (fenugreek seeds),chana dal (bengalram dal),salt,water,ghee"
1704,"bhetki fish,curd (dahi / yogurt),onions,green chillies,clovesarlic,inchinger,turmeric powder (haldi),cumin powder (jeera),coriander powder (dhania),red chilli powder,aram masala powder,black pepper powder,bay leaf (tej patta),cloves (laung),cardamom (elaichi) pods/seeds,mustard oil,salt"
1705,"inchinger,honey,lemon juice,water"
1706,"carrots (gajjar),lemon juice,fresh coconut,salt,spricoriander (dhania) leaves,mustard seeds,asafoetida (hing),sunflower oil"
1707,"sunflower oil,white urad dal (split),chana dal (bengalram dal),fresh red chillies,tomatoes,salt,tamarind paste,mustard seeds,cumin seeds (jeera),curry leaves"
1708,"kashmiri dry red chillies,mutton,curd (dahi / yogurt),cumin seeds (jeera),cumin powder (jeera),coriander powder (dhania),turmeric powder (haldi),ingerarlic paste,ghee,brown cardamom (badi elaichi),cardamom (elaichi) pods/seeds,inch cinnamon stick (dalchini),cloves (laung),bay leaf (tej patta),onions,aram masala powder,salt,coriander (dhania) leaves,charcoal"
1709,"mixed vegetables,onion,clovesarlic,tomatoes,pasta,kabuli chana (white chickpeas),tomato ketchup,dried basil leaves,cinnamon powder (dalchini),paprika powder,whole black peppercorns,turmeric powder (haldi),salt,s water,extra virgin olive oil"
1710,"reen chillies,curd (dahi / yogurt),water,salt"
1711,"s whole wheat flour,hee,salt,ghee,corn flour,paneer (homemade cottage cheese),spinach leaves (palak),cumin seeds (jeera),cumin powder (jeera),chaat masala powder,onion,green chillies,salt,sunflower oil"
1712,"condensed milk,curd (dahi / yogurt)"
1714,"eggplant,small onions,tomatoes,inchinger,tamarind water,sambar powder,asafoetida,turmeric powder,jaggery,rye,spricurry leaves,sesame oil,salt,green coriander"
1715,"broccoli,s cauliflower (gobi),clovesarlic,onion,extra virgin olive oil,salt,s milk,corn flour,whole black pepper corns,mixed herbs (dried),cheese spread,salt,cheddar cheese"
1716,"kala chana (brown chickpeas),bay leaf (tej patta),onion,mustard oil,mustard seeds,cumin seeds (jeera),asafoetida (hing),ram flour (besan),turmeric powder (haldi),s water,jaggery,coriander powder (dhania),aram masala powder,amchur (dry mango powder),red chilli powder,asafoetida (hing),ram flour (besan),turmeric powder (haldi),salt"
1717,"s spaghetti pasta,chicken breasts,raw peanuts (moongphali),dry red chilli,sunflower oil,clovesarlic,inchinger,sprinonionreens,corn flour,rice wine vinegar,light soy sauce,dark soy sauce,sugar,white vinegar,water"
1718,"chana dal (bengalram dal),onion,clovesarlic,coriander (dhania) leaves,green chilli,red chilli powder,cumin seeds (jeera),salt,sunflower oil"
1719,"s cooked rice,sunflower oil,s button mushrooms,arlic,onion,inchinger,green chilli,carrot (gajjar),sprinonionreens,salt,black pepper powder,schezwan sauce,vinegar,soy sauce,clovesarlic"
1720,"cucumber,kiwi,green apple,tender coconut water,lemon juice,mint leaves (pudina),chia seeds,ice cubes"
1721,"raw papaya,sugar,vanilla extract,saffron strands"
1722,"lotus stem,inchinger,clovesarlic,onion,red chilli powder,turmeric powder (haldi),coriander powder (dhania),ram flour (besan),sunflower oil"
1723,"jaggery,s rice,cardamom powder (elaichi),hee,cashew nuts,raisins,fresh coconut"
1725,"eggplant,tomatoes,onion,clovesarlic,green chillies,inchinger,turmeric powder,reen coriander,coriander powder,red chilli powder,pickle,pickle spice,oil,asafoetida,salt,mustard seeds,cumin seeds,fennel seeds,kalonji seeds,fenugreek seeds,celery,dry red chillies,mango powder powder"
1726,"onions,tomatoes,green chillies,mint leaves (pudina),fresh coconut,mustard seeds,asafoetida (hing),spricurry leaves,sunflower oil,salt"
1727,"yellow moondal (split),s water"
1728,"lemons,kalonji (onion nigella seeds),turmeric powder (haldi),black pepper powder,mustard oil,rock salt,mustard seeds,asafoetida (hing),red chilli powder"
1729,"hee,white urad dal,inch cinnamon,long,dry red chillies,onion,longarlic,inchinger,tomato,green chili,red chilli powder,coriander powder,turmeric powder,aram masala powder,sprigreen coriander,hee,cumin seeds,whole pepper"
1730,"whole wheat brown bread,whole eggs,avocado,tomato,onion,clovesarlic,green chillies,spricoriander (dhania) leaves,lemon,del monte cheesyarlic mayo,salt,black pepper powder,butter"
1731,"whole wheat brown bread,tomatoes,onion,potatoes (aloo),rolled oats or instant oats,inger,green chillies,turmeric powder (haldi),to  curry leaves,spricoriander (dhania) leaves,salt,sunflower oil,mustard seeds,white urad dal (split),chana dal (bengalram dal),asafoetida (hing)"
1732,"sooji (semolina/ rava),sugar,dessicated coconut,all purpose flour (maida),bakinpowder,sunflower oil,milk,vanilla extract,badam (almond),water,sugar,lemon juice,rose essence"
1733,"basmati rice,onions,onion,tomatoes,whole eggs,green chillies,inchinger,clovesarlic,mint leaves (pudina),curd (dahi / yogurt),saffron strands,turmeric powder (haldi),red chilli powder,aram masala powder,bay leaves (tej patta),inch cinnamon stick (dalchini),cloves (laung),salt,figaro pure olive oil,onions,coriander (dhania) leaves,cashew nuts,coriander (dhania) leaves,cashew nuts"
1734,"s whole wheat flour,coconut sugar,whole eggs,buttermilk,lemon zest,cranberries,bakinpowder,vanilla extract,corn flakes,brown sugar (demerara sugar),cranberries"
1735,"whole wheat brown bread,jam,dessicated coconut,hee"
1736,"potatoes (aloo),lemon juice,extra virgin olive oil,paprika powder,za'atar,sesame seeds (til seeds),sumac,dried thyme leaves,sea salt"
1738,"rice,pearl onions (sambar onions),clovesarlic,tomatoes,mustard seeds,spricurry leaves,sambar powder,cardamom powder (elaichi),turmeric powder (haldi),mint leaves (pudina),sesame (gingelly) oil,hee,salt"
1740,"mutton,tomatoes,salt,sunflower oil,s water,fresh coconut,onion,whole black peppercorns,spricoriander (dhania) leaves,inchinger,clovesarlic,turmeric powder (haldi),salt,cloves (laung),inch cinnamon stick (dalchini),red chilli powder,salt"
1741,"potatoes (aloo),reen beans (french beans),mustard seeds,cumin seeds (jeera),coriander powder (dhania),turmeric powder (haldi),asafoetida (hing),red chilli powder,spricurry leaves,sunflower oil"
1742,"chicken breasts,green bell peppers,onion,clovesarlic,cumin seeds (jeera),black pepper powder,salt,makki ka atta (yellow corn meal flour),whole wheat flour,extra virgin olive oil,water"
1743,"bajra flour ( pearl millet),whole wheat flour,red chilli powder,coriander powder (dhania),methi leaves (fenugreek leaves),curd (dahi / yogurt),sunflower oil,green chilli,sesame seeds (til seeds),ajwain (carom seeds),cumin powder (jeera),salt"
1744,"bottleourd (lauki),s whole wheat flour,green chilli,ajwain (carom seeds),inger,red chilli powder,aram masala powder,hee,salt"
