,TranslatedIngredients
435,"4 Whole Eggs,4 Egg whites,1/2 teaspoon Black pepper powder,Salt - to taste,1/4 cup Green Bell Pepper (Capsicum) - or any colour,1/4 tablespoon Onions - finely chopped,Sunflower Oil - for greasing the cups"
436,"1 liter Milk,4 tablespoons Sugar,6 Badam (Almond) - soaked in water for an hour,2 tablespoons Mixed nuts - chopped,1/2 cup Orange pulp"
437,"2-1/2 cups Green peas (Matar) - lightly blanched,1/2 cup Coriander (Dhania) Leaves,5 cloves Garlic,4 Green Chillies - finely chopped,1 teaspoon Cumin seeds (Jeera),1-1/2 cups Gram flour (besan),1/4 teaspoon Asafoetida (hing),2 Onion - sliced,Salt - to taste,Sunflower Oil - for frying"
438,"1/2 cup Sooji (Semolina/ Rava),1/4 cup Ghee,1/2 teaspoon Cardamom Powder (Elaichi),1/2 cup Cane sugar,1 tablespoon Cashew nuts,Badam (Almond) - a few,Mixed fruits - (I used figs"
439,"2 Ripe Bananas - mashed,1 cup Hung Curd (Greek Yogurt),2 tablespoons Honey,4 Multigrain Digestive Oat Biscuits,2 tablespoons Pistachios - chopped"
440,"300 grams Green Chawli Beans (Yard long beans/Karamani/Barbati) - cut into 2 inch long,2 Potatoes (Aloo) - peeled cut into 2 inch long,1 teaspoon Fennel seeds (Saunf),21/2 teaspoon Coriander Powder (Dhania),2 teaspoons Red Chilli powder,1 teaspoon Turmeric powder (Haldi),1 teaspoon Amchur (Dry Mango Powder),3 teaspoons Gram flour (besan),Sunflower Oil,Salt - to taste"
441,"3 tablespoon Poppy seeds,2 teaspoon Rice,2 tablespoon Fresh coconut,4 tablespoon Jaggery,1 cup Milk,2 Cardamom (Elaichi) Pods/Seeds,1 pinch Salt,2 tablespoon Ghee,10 Cashew nuts,10 Raisins"
442,"1 cup Basmati rice - or any long grain rice,2 Saffron strands,1 tablespoon Milk,1/2 cup Sugar,4 Cardamom (Elaichi) Pods/Seeds,1 inch Cinnamon Stick (Dalchini),1/4 cup Badam (Almond) - sliced,1/4 cup Pistachios - sliced,2 tablespoon Raisins,1/2 teaspoon Turmeric powder (Haldi),Sunflower Oil - for cooking"
443,"5 Cashew nuts,5 Badam (Almond),1 tablespoon Melon seeds,1 Onion - finely chopped,1 Tomato - chopped,1-1/2 cup Mixed vegetables - (potato,1/2 tablespoon Ginger Garlic Paste,3/4 cup Coconut milk,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1 teaspoon Garam masala powder,Salt - to taste,2 tablespoons Ghee - or oil,2-3 tablespoons Anardana Powder (Pomegranate Seed Powder) - Seeds,1 tablespoon Cashew nuts,1 tablespoon Raisins,1 tablespoon Ghee"
444,"1 cup rice, salt - as per taste, 2 cups water"
445,"1 cup All Purpose Flour (Maida),1 teaspoon Fennel seeds (Saunf) - crushed,3 to 4 Cardamom (Elaichi) Pods/Seeds - crushed,1/4 teaspoon Baking soda,3 tablespoons Khoya (Mawa) - crumbled,3 tablespoon Milk Powder,3 tablespoons Curd (Dahi / Yogurt),1 tablespoon Caster Sugar,Ghee - for frying the malpua,1/2 cup Sugar,1/4 cup Water,2 - 3 Saffron strands,Lemon juice - of 1/2 lemon"
446,"1 Avocado,1 Fresh Red Chilli,4 tablespoon Curd (Dahi / Yogurt),Lemon zest - as required,1 Lemon,Coriander (Dhania) Leaves - chopped as required,Salt - salt to taste,1 Onion,1 Red Bell pepper (Capsicum) - sliced,1 Green Bell Pepper (Capsicum) - sliced,2 sprig Coriander (Dhania) Leaves - chopped,Salt - to taste,6 Whole Eggs,1/4 tablespoon Black pepper powder,Cheese - shredded,2 tablespoon Milk,Extra Virgin Olive Oil - or butter"
447,"250 grams Button mushrooms - chopped,2 tablespoons Butter,2 sprigs Mint Leaves (Pudina) - chopped,2 sprigs Parsley leaves - chopped,2 tablespoons All Purpose Flour (Maida),3/4 cup Milk,1/4 cup Fresh cream,1/2 teaspoon Black pepper powder,Salt - to taste"
448,"1/2 teaspoon Extra Virgin Olive Oil,1 cup Spinach Basil Sauce - roughly chopped,1 Green Chilli - finely chopped,1-1/2 cups Whole Wheat Flour,Salt - salt to taste,1 teaspoon Extra Virgin Olive Oil,6 cloves Garlic - finely chopped,1 Red Bell pepper (Capsicum) - thinly sliced,1 Onion - thinly sliced,2 Stalks Spring Onion (Bulb & Greens) - finely chopped,2 cups Button mushrooms - sliced,1 cup Tofu - cut into strips,1 teaspoon Soy sauce,1 teaspoon Red Chilli sauce,1 teaspoon Mixed Herbs (Dried),Sunflower Oil - Salt to taste"
449,"10 Indian borage (Doddapatre),1/2 cup Fresh coconut,10 grams Tamarind - (small lemon size),2 Dry Red Chillies,1/4 teaspoon Asafoetida (hing),1/3 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1 teaspoon Chana dal (Bengal Gram Dal),Salt - to taste,2 teaspoons Sunflower Oil"
450,"3 cups Mixed vegetables - chopped and steamed,2 Tomatoes - ripe and pureed,1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Coriander Powder (Dhania),1/2 teaspoon Red Chilli powder,1/2 teaspoon Sugar,Salt - to taste,1/2 cup Fresh coconut,1 Onion - chopped,2 Green Chillies,1 Garlic,1/2 inch Ginger,1/2 teaspoon Cumin seeds (Jeera),30 grams Tamarind,2 teaspoons Sunflower Oil,1 teaspoon Mustard seeds,1 Dry Red Chilli - halved"
451,"1 Chicken breasts,1 cup Button mushrooms - sliced,1 Onion - chopped,4 cloves Garlic - chopped,1 teaspoon Dried Thyme Leaves,1 teaspoon Red Chilli flakes,1 teaspoon Black pepper powder,1 cup Milk,2 teaspoon Corn flour,Salt - to taste,Butter (unsalted) - for cooking"
452,"500 grams Chicken - cut into curry cut pieces,2 Onions - chopped,1 Tomato - chopped,1/4 cup Homemade tomato puree,1 tablespoon Sunflower Oil,2 Green Chillies - chopped,1 tablespoon Tamarind - washed and soaked in hot water.,Coriander (Dhania) Leaves - as required,Salt - to taste,1 teaspoon Sunflower Oil,8 cloves Garlic,1/2 inch Ginger,5 Kashmiri dry red chilli,1/2 tablespoon Mustard seeds,1/2 tablespoon Black pepper corns,1 teaspoon Cumin seeds (Jeera),1 tablespoon Coriander (Dhania) Seeds,1/2 teaspoon Methi Seeds (Fenugreek Seeds),3 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),4 tablespoon Vinegar,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Jaggery,1/2 teaspoon Salt - or to taste"
453,"1 Spinach - small bunch,2 Green Chillies,2 tablespoon Coriander (Dhania) Leaves,1 teaspoon Ginger - finely chopped,1 teaspoon Garlic - finely chopped,1/4 cup Carrots (Gajjar) - finely chopped,1/4 cup Cabbage (Patta Gobi/ Muttaikose) - finely chopped,1/4 cup Green Bell Pepper (Capsicum) - finely chopped,4 cups Hot water,2 tablespoons Corn flour,1 tablespoons Soy sauce,1 teaspoon Vinegar,Salt - to taste,2 tablespoons Sunflower Oil,Spring Onion Greens - chopped,Coriander (Dhania) Leaves - chopped"
454,"2 cups Lotus Stem - (nadru or kamal kakdi) peeled & sliced,750 grams Chicken - cut into medium pieces,2 cups Water,1 Bay leaf (tej patta),1/4 teaspoon Fennel seeds (Saunf),2 Black cardamom (Badi Elaichi),4 Cloves (Laung),1 inch Ginger - chopped,3 tablespoon Mustard oil,1 teaspoon Cumin seeds (Jeera),1/4 teaspoon Asafoetida (hing),1-1/2 cups Curd (Dahi / Yogurt) - whisked,2 teaspoon Kashmiri Red Chilli Powder,2 teaspoon Fennel Powder,1 teaspoon Dry ginger powder,Salt - to taste,1/2 teaspoon Mint powder (Pudina),1 teaspoon Ajwain (Carom seeds),3 sprig Coriander (Dhania) Leaves - chopped for garnish"
455,"4 Hard taco shells,1 Tomato - finely chopped,2 Onions - finely chopped,2 Green Chillies - finely chopped,Coriander (Dhania) Leaves - finely chopped,1 Cup Kabuli Chana (White Chickpeas) - soaked Overnight,1 teaspoon Red Chilli powder,1 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1 tablespoon Chana Masala Powder,1 Tablespoon Ginger Garlic Paste,Salt - to taste,Sunflower Oil - to cook"
456,"2 cups Yellow Moong Dal (Split),1 Onion - chopped,1/4 teaspoon Turmeric powder (Haldi),2 sprig Coriander (Dhania) Leaves - chopped,Salt - to taste,1 inch Cinnamon Stick (Dalchini),2 Cardamom Powder (Elaichi),4 Cloves (Laung),2 Dry Red Chillies,1 teaspoon Whole Black Peppercorns,1 teaspoon Cumin seeds (Jeera)"
457,"1/2 cup Chicken stock - chicken stock cube + water,3 tablespoons Soy sauce,1 tablespoon Sherry - or white wine,1 tablespoon Sugar,1 teaspoon Corn flour - dissolved in 1 tablespoon water,1/2 teaspoon Rice Vinegar,1/2 teaspoon Sesame (Gingelly) Oil,1/2 teaspoon Fresh Red chillies - crushed,3 tablespoons Sunflower Oil,200 grams Button mushrooms - thickly sliced,200 grams Chicken breasts - skinless and boneless ,Salt and Pepper - as required,2 Bok Choy - heads,1 Red Bell pepper (Capsicum) - cut into 3/4 inch pieces,2 tablespoons Ginger - finely chopped,1 Garlic - minced,Sesame seeds (Til seeds) - Roasted"
458,"1 Drumstick - cut into 1 inch,1/2 cup Curd (Dahi / Yogurt),1/2 teaspoon Turmeric powder (Haldi),1/2 cup Fresh coconut - grated,1 teaspoon Rice - soaked in warm water,1 teaspoon Coriander (Dhania) Seeds - roasted,1 teaspoon Cumin seeds (Jeera),2 Dry Red Chillies,Salt - to taste,1 teaspoon Coconut Oil,1 teaspoon Mustard seeds,1 sprig Curry leaves - roughly torn"
459,"1 Carrot (Gajjar) - peeled and diced,5 Baby Potatoes - quatered,100 grams Elephant yam (Suran/Senai/Ratalu) - peeled and diced,1/4 cup Green peas (Matar),1 tablespoon Raisins,4 Dates - chopped,1/4 cup Vinegar,1 tablespoon Jaggery,1 Onion - chopped,1/4 cup Tomato - chopped,2 cloves Garlic - finely chopped,1 inch Ginger - finely chopped,2 Green Chillies - chopped,1 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,2 tablespoon Dhansak masala,Salt - to taste,Sunflower Oil - for cooking"
460,"4 tablespoons Ragi Flour (Finger Millet/ Nagli),1 1/2 cup Water,1 Carrot (Gajjar) - sliced diagonally,1 cup Spinach,1/4 cup Soybeans (Whole Soya dal) - boiled,1/4 cup Green peas (Matar) - optional,Salt - as per taste,1 teaspoon Black pepper powder,1 sprig Coriander (Dhania) Leaves - chopped,1 tablespoon Ghee"
461,"1 cup Fresh green chickpeas - or frozen,3 Green Chillies - adjustable,6 cloves Garlic,Salt - to taste,Water - as required,Sunflower Oil - as required,1/2 tablespoon Cumin seeds (Jeera),2 tablespoons Curd (Dahi / Yogurt)"
462,"1 cup Rice - washed and soaked for 10 min,1/4 cup Rajma (Large Kidney Beans) - washed and soaked overnight,1/8 cup Double Beans - washed and soaked overnight,1/4 cup Potato (Aloo) - peeled and chopped,Carrot (Gajjar) - peeled and chopped,Green beans (French Beans) - chopped,2 Cloves (Laung),2 Cardamom (Elaichi) Pods/Seeds,1 Cinnamon Stick (Dalchini),1/8 tablespoon Turmeric powder (Haldi),1 Onion - sliced finely,2 Green Chillies - slit,1/2 tablespoon Ginger Garlic Paste,1/4 tablespoon Garam masala powder,1 tablespoon Lemon juice,2 sprig Coriander (Dhania) Leaves,Salt - as required,Sunflower Oil - as required"
463,"2 Mango (Raw) - cut into big chunks with the skin,1/4 cup Tamarind Water,1 tablespoon Jaggery,1/2 teaspoon Sambar Powder,1/4 teaspoon Turmeric powder (Haldi),1/2 teaspoon Salt,1/2 teaspoon Mustard seeds,1/4 teaspoon Asafoetida (hing),1 sprig Curry leaves,2 Dry Red Chillies,Sunflower Oil - for cooking"
464,"1 cup Chana dal (Bengal Gram Dal) - soaked for 30 minutes,1 cup Kaddu (Parangikai/ Pumpkin) - diced,1 Potato (Aloo) - diced,1 inch Ginger - grated,1 Tomato - chopped,4 teaspoon Cumin seeds (Jeera),10 Dry Red Chillies,1 teaspoon Red Chilli powder,1 teaspoon Turmeric powder (Haldi),1 teaspoon Ghee,2-1/2 tablespoon Fresh coconut - grated,1 teaspoon Sugar,Salt - to taste,Coriander (Dhania) Leaves - to garnish"
465,"300 grams Singhade (water chestnut),1 teaspoon Mustard seeds,1 sprig Curry leaves,1 teaspoon Black pepper powder,1/2 teaspoon Turmeric powder (Haldi),1 pinch Asafoetida (hing),Salt - to taste,Sunflower Oil"
466,"1/3 cup Rice - coarsely ground,Tamarind - a small lemon sized ball,1- 1 1/4 cups Water,10 Curry leaves,2 Dry Red Chillies - broken to 2,1/4 teaspoon Asafoetida (hing),2 teaspoons Sunflower Oil,1 teaspoon Mustard seeds,Salt - to taste"
467,"1-1/2 cups Whole Wheat Flour,1/2 tablespoon Active dry yeast,1 tablespoon Sugar,1/2 cup Lukewarm Water,Extra Virgin Olive Oil - for brushing,1/2 teaspoon Salt,4 tablespoon Confectioners sugar,2 tablespoon Cinnamon Powder (Dalchini),1/2 cup Raisins - handful"
468,"12 Whole Eggs - hard-boiled,1 tablespoon Ghee,1 teaspoon Red Chilli powder,1/4 teaspoon Whole Black Peppercorns - freshly crushed,4 Green Chillies,12 cloves Garlic,2 inch Ginger,3 cups Basmati rice - soaked for 45 mins,1 cup Onions - finely sliced,1 cup Tomato - finely sliced,3/4 cup Curd (Dahi / Yogurt) - whisked well,3 Green Chillies - slit,1/4 cup Mint Leaves (Pudina) - chopped,1/4 cup Coriander (Dhania) Leaves - chopped,1 Lemon juice,Water - as required,1-1/2 teaspoon Cumin seeds (Jeera),6 Cardamom (Elaichi) Pods/Seeds,2 Bay leaves (tej patta),2 inch Cinnamon Stick (Dalchini),1 Star anise,1/2 teaspoon Turmeric powder (Haldi),8 Whole Black Peppercorns,3 tablespoon Ghee - or oil,Salt - to taste"
469,"2 cups Methi Leaves (Fenugreek Leaves) - washed and roughly chopped,1-1/2 cups Whole Wheat Flour,Salt - to taste,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1/2 teaspoon Asafoetida (hing),1 teaspoon Cumin powder (Jeera),1 teaspoon Ajwain (Carom seeds),1 teaspoon Sesame seeds (Til seeds),2 teaspoon Sunflower Oil,1/2 teaspoon Lemon juice,1/2 teaspoon Sugar,2 tablespoon Sunflower Oil,2 teaspoon Fennel seeds (Saunf),1 teaspoon Mustard seeds,1 teaspoon Cumin seeds (Jeera),Sunflower Oil - for deep frying"
470,"2 Whole Egg - whites only,2 tablespoon Milk,2 Green Chilli - finely chopped,3-4 Garlic - sliced,1 sprig Basil leaves - ground into a paste,Sunflower Oil - for cooking,Salt and Pepper - to taste,20 grams Spinach - sliced,1/4 cup Sweet corn,1 Tomato - sliced,2 cloves Garlic - finely chopped,2 tablespoons Cheese - grated"
471,"1 Carrot (Gajjar) - cubed,1 Potato (Aloo) - cubed,1/2 cup Green beans (French Beans) - chopped into ½ inch size,1 Knol Khol (Ganth Gobi/kadam) - cubed,1/4 cup Green peas (Matar),1 Onion - chopped,1 Tomato - chopped,1/4 teaspoon Turmeric powder (Haldi),4 teaspoon Sunflower Oil - Ghee,1/4 teaspoon Mustard seeds,1/2 teaspoon White Urad Dal (Split),4 Curry leaves,Salt - to taste,1/2 cup Fresh coconut,1 inch Ginger - chopped,3 cloves Garlic,1 teaspoon Coriander (Dhania) Seeds,1/2 teaspoon Cumin seeds (Jeera),2 tablespoons Roasted Gram Dal (Pottukadalai),1 teaspoon Poppy seeds,2 Green Chillies,1/2 inch Cinnamon Stick (Dalchini),4 Cloves (Laung),1 Star anise,1 Cardamom (Elaichi) Pods/Seeds,1/4 cup Coriander (Dhania) Leaves,1/4 cup Mint Leaves (Pudina)"
472,"4 Chicken breasts - pieces,5 tablespoons Extra Virgin Olive Oil,4 tablespoons Lemon juice,1 teaspoons Lemon zest,1 tablespoon Garlic,1 tablespoon Coriander (Dhania) Seeds - crushed,Salt - to taste,1 teaspoon Paprika powder,2 tablespoons Coriander (Dhania) Leaves - chopped"
473,"1 cup Rice - soaked overnight and ground,1/4 cup Jaggery,1/2 cup Fresh coconut,1 teaspoon Cardamom Powder (Elaichi),Ghee - or oil for cooking"
474,"2 cups Phool Makhana (Lotus Seeds),1/4 cup Green peas (Matar),1 teaspoon Ginger - grated,2 + 1 Onion - chopped,6 Cashew nuts,1 tablespoon Poppy seeds,1 tablespoon Pumpkin seeds,1 Bay leaf (tej patta),1 Cardamom (Elaichi) Pods/Seeds,1 inch Cinnamon Stick (Dalchini),2 Cloves (Laung),1 Green Chilli,1 teaspoon Red Chilli flakes,2 tablespoon Fresh cream,1 tablespoon Ghee,Sunflower Oil - to cook"
475,"1 cup Rice - boiled,1/4 cup Green beans (French Beans) - finely chopped,1 Carrot (Gajjar) - finely chopped,1 Green Bell Pepper (Capsicum) - finely chopped,2 Dry Red Chilli - sliced,2 cloves Garlic - finely chopped,1 inch Ginger - finely chopped,2 teaspoon Red Chilli sauce - (or Birds Eye Chili sauce),2 teaspoon Soy sauce,1 teaspoon Vinegar,Salt - to taste,Black pepper powder - to taste"
476,"1 Cauliflower (gobi) - cut into florets,2 Green Bell Pepper (Capsicum) - diced,3 Tomatoes,1 Onion - finely chopped,1 teaspoon Coriander Powder (Dhania),1 teaspoon Cumin powder (Jeera),1 tablespoon Garlic - paste,1 tablespoon Sunflower Oil - use the pickle oil for more flavour,2 teaspoons Mustard seeds,3/4 teaspoon Methi Seeds (Fenugreek Seeds),2 tablespoons Lemon juice,Salt - to taste,2 teaspoons Red Chilli powder - adjustable"
477,"1 cup Carrots (Gajjar) - grated,1/2 cup Sooji (Semolina/ Rava),1/2 cup Instant Oats (Oatmeal),1 cup Whole Wheat Flour,2 teaspoons Baking powder,3/4 cup Milk,2 tablespoons Honey,2 Whole Eggs - slightly beaten,2 tablespoons Sunflower Oil"
478,"1 cup Rice - washed and soaked,1 Cardamom (Elaichi) Pods/Seeds,1 clove Cloves (Laung),1 inch Cinnamon Stick (Dalchini),1 Bay leaf (tej patta),1/2 cup Milk,1 1/2 cup Water,1 teaspoon Ghee,Salt - Salt to taste,1/2 cup Onions - sliced,2 teaspoons Sunflower Oil,1 Potato (Aloo) - cut into cubes & soaked in salt water,1/2 teaspoon Amchur (Dry Mango Powder),1/2 teaspoon Red Chilli powder,1/2 Cumin powder (Jeera),1/4 cup Coriander (Dhania) Leaves - chopped,1/4 cup Mint Leaves (Pudina),1 cup Kabuli Chana (White Chickpeas) - washed and soaked overnight.,6 cloves Garlic - chopped,1 inch Ginger - chopped,1 Green Chilli - finely chopped,1 teaspoon Garam masala powder,1 teaspoon Red Chilli powder,1/4 cup Curd (Dahi / Yogurt) - whisked,1/2 teaspoon Turmeric powder (Haldi),1 Tomatoes - finely chopped,1 tablespoon Ghee,Salt - to taste"
479,"1-1/2 cups Quinoa,6 cloves Garlic - finely chopped,1 Onion - finely chopped,1 teaspoon Red Chilli flakes,1-1/2 tablespoon Mixed Herbs (Dried),1 teaspoon Extra Virgin Olive Oil,1 tablespoon Butter,Salt - to taste,1 teaspoon Lemon juice"
480,"1 cup Rajgira Flour (Amaranth Flour),2 Potato (Aloo) - boiled,1 cup Paneer (Homemade Cottage Cheese) - grated,2 Green Chillies - finely chopped,1 teaspoon Turmeric powder (Haldi),1 teaspoon Cumin powder (Jeera),2 sprig Coriander (Dhania) Leaves - finely chopped,1/2 teaspoon Whole Black Peppercorns - ground,Salt - or rock salt to taste,Sunflower Oil - or ghee for cooking"
481,"4 Whole Wheat Brown Bread,Butter - as required,2 tablespoons Britannia Cheese Spread - Four Pepper Tango,1/4 teaspoon Red Chilli flakes,4 Pineapple - slices,50 grams Paneer (Homemade Cottage Cheese) - finely chopped,1/2 Green Bell Pepper (Capsicum) - finely chopped,Salt - to taste,Cheese - as required to spread over the bread"
482,"1 cup suran - cut and boil, 1 cup raw banana - cut and boil, 1 cup carrot - chop, 1 onion - chop, 1 inch ginger - chop, 4 cloves garlic - cut, 1 tablespoon red Chili powder, 1 teaspoon turmeric powder, 1 tablespoon cumin powder, 1 tablespoon coriander powder, 1 tablespoon Amchur powder, 1/2 cup oats - to coat, 1/4 cup milk, salt - according to taste, black Chili Powder - Taste, Oil"
483,"3/4 cup Whole Wheat Flour,1 teaspoon Baking powder,1/4 teaspoon Baking soda,1/2 teaspoon Vanilla Extract,1 tablespoon Cocoa Powder - mixed with 2 tbsp. warm water,1/2 cup Strawberry Compote - or fresh puree,1/4 cup Curd (Dahi / Yogurt),2 tablespoon Extra Virgin Olive Oil,1/2 cup Condensed Milk,1 tablespoon Butterscotch Chips - or almonds"
484,"1-1 /2 cups All Purpose Flour (Maida),1/2 cup Cheddar cheese - shredded,4 cloves Garlic - finely chopped,1 tablespoon Sugar,2 teaspoons Baking powder,1 teaspoon Salt,1-1/4 cups Beer,2 Tablespoons Butter,2 teaspoons Mixed Herbs (Dried)"
485,"1 Watermelon - cut into wedges,1/4 cup Black grapes - deseeded & cut into halves,1/4 cup Walnuts - cut into half,4 Badam (Almond) - slivered,Mint Leaves (Pudina) - to garnish,1 cup Hung Curd (Greek Yogurt),1 tablespoon Fresh cream,3 tablespoons Sugar - powdered,1 teaspoon Vanilla Extract"
486,"1 cup Baby Potatoes - washed and peeled,1 tablespoon Sunflower Oil,1 teaspoon Tikka Masala,1 tablespoon Fresh cream - or milk,1/4 teaspoon Kasuri Methi (Dried Fenugreek Leaves),Salt - to taste,2-3 Kashmiri dry red chillies,1 tablespoon Garlic - chopped,1/2 tablespoon Ginger - chopped,1 teaspoon Coriander Powder (Dhania),1 teaspoon Cumin powder (Jeera),1/4 cup Water"
487,"2 Mango (Ripe) - deseeded and peeled,175 grams Paneer (Homemade Cottage Cheese) - crumbled,400 grams Condensed Milk - sweetened,3 Cardamom (Elaichi) Pods/Seeds - crushed,1 tablespoon Fresh coconut - strands for garnishing"
488,"120 grams Napa Cabbage - chopped,100 grams Carrot (Gajjar) - peeled and cut into thin stripes,150 grams Hakka Noodles,2 tablespoons Sesame seeds (Til seeds) - roasted,1 teaspoon Soy sauce,1/2 teaspoon Vinegar,2 teaspoon Ginger - julienned,4 cloves Garlic - finely chopped,1 Onion - chopped,3 teaspoon Sunflower Oil,Salt - to taste"
489,"250 grams Pointed gourd (Parval),1/2 cup Mustard oil,1 teaspoon Turmeric powder (Haldi),Salt - to taste"
490,"250 gm arabic - wash now, peel, 1 tamarind - Malabar, salt - as per taste, 1/4 cup coconut - scrape, 1 teaspoon red chilli powder, 2 onions - peeled, 1 tablespoon coconut oil , 2 onions - peel and chop, 1 teaspoon mustard, 1 teaspoon cumin seeds, 2 dry red chillies - break, 7 curry leaves"
491,"1 kg Mutton - (I used shanks),2 tablespoon Sunflower Oil,1/4 cup Water,1 teaspoon Ginger - crushed,1 teaspoon Garlic - crushed,1 teaspoon Onion - sauteed and ground,3 tablespoons Curd (Dahi / Yogurt),2 teaspoon Rose water,1/2 teaspoon Saffron strands - soaked in milk for 10 minutes,Coriander (Dhania) Leaves - small bunch,1-1/2 inch Ginger - julienne,4 Cardamom (Elaichi) Pods/Seeds,1 inch Cinnamon Stick (Dalchini),2 Black cardamom (Badi Elaichi),2 Bay leaves (tej patta),1 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,2 teaspoons Garam masala powder,1/4 teaspoon Nutmeg powder,1/2 teaspoon Cardamom Powder (Elaichi),Salt - to taste,1 cup Whole Wheat Flour,Water - as required"
492,"1 cup White Urad Dal (Whole) - soaked for 3 hours,1/2 cup Cabbage (Patta Gobi/ Muttaikose) - finely chopped,1/2 cup Onions - finely chopped,1 teaspoon Ginger - finely chopped,1 teaspoon Green Chillies - finely chopped,1/4 Coriander (Dhania) Leaves - finely chopped,Salt - to taste"
493,"250 grams Boneless chicken,1 cup Shiitake mushrooms - (or oyster mushrooms),1 Bok Choy - chopped,1/2 cup Spring Onion (Bulb & Greens),8 cloves Garlic - crushed,2 teaspoon Black pepper powder,1 tablespoon Light soy sauce,1 tablespoon Fish sauce,1 tablespoon Oyster sauce,1 tablespoon Red Chilli sauce,1 tablespoon Rice Wine Vinegar,Salt - if required,2 tablespoon Sesame (Gingelly) Oil,1 teaspoon Brown Sugar (Demerara Sugar),1 teaspoon Corn flour,3 tablespoons Spring Onion Greens,Sesame seeds (Til seeds) - toasted"
494,"3 Ripe Bananas - Nendra variety,9-10 teaspoon Sugar,3 tablespoons Ghee,4 Cloves (Laung),1 teaspoon Cardamom Powder (Elaichi)"
495,"3/4 cup All Purpose Flour (Maida),1 cup Brown Sugar (Demerara Sugar),2 teaspoons Instant Coffee Powder,2/3 cup Dark Chocolate Chips,1/2 teaspoon Cinnamon Powder (Dalchini),1/4 teaspoon Nutmeg powder,1.5 teaspoons Baking powder,1/4 teaspoon Salt,3/4 cup Walnuts - roughly chopped,1/2 cup Butter - softened,2 Whole Eggs - +2 tablespoons of one beaten egg,1/4 teaspoon Vanilla Extract,1/2 cup Water - (adjust)"
496,"1 cup Kabuli Channa - soaked boiled, 1 green capsicum - chopped, 2 onions - finely chopped, 2 teaspoons ginger garlic paste, 2 teaspoons coriander powder, 1 teaspoon red chili powder, 1 teaspoon cumin powder , 1/2 teaspoon turmeric powder, 1 teaspoon Kasuri methi, 1/2 cup cashew nuts, 1 cup tomato puree, oil - to cook, salt - as per taste"
497,"2 cups Curd (Dahi / Yogurt),2 Carrots (Gajjar) - grated,1 tablespoon Coriander (Dhania) Leaves,1 tablespoon Mint Leaves (Pudina),1 Green Chilli - finely chopped,1/2 teaspoon Black Salt (Kala Namak),1/2 teaspoon Cumin powder (Jeera),Salt - to taste,1/2 teaspoon Sunflower Oil,1/2 teaspoon Cumin seeds (Jeera),3 cloves Garlic - finely chopped,1 pinch Asafoetida (hing)"
498,"250 grams Colocasia root (Arbi),2 tablespoon Gram flour (besan),1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1/4 teaspoon Turmeric powder (Haldi),1/2 teaspoon Amchur (Dry Mango Powder),3/4 teaspoon Cumin powder (Jeera),Salt - to taste,1/4 teaspoon Asafoetida (hing),3 tablespoons Sunflower Oil,1 teaspoon Sunflower Oil,1/2 teaspoon Ajwain (Carom seeds),1/4 teaspoon Cumin seeds (Jeera),1 Green Chilli - finely chopped,2 teaspoons Lemon juice,1 sprig Coriander (Dhania) Leaves - chopped"
499,"2 cups rice - cook, 1 teaspoon cumin seeds, 3 to 4 curry leaves, 1 green chili - finely chopped, 1 carrot - tightly, 1 capsicum (green) - finely chopped, 1 onion - finely chopped, 1/2 teaspoon red chilli powder, 1/2 teaspoon black pepper powder, ghee - coriander - little (for garnish), salt - as per taste"
500,"300 grams Elephant yam (Suran/Senai/Ratalu) - cut into thin slices,1 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1 sprig Curry leaves,Salt - to taste,Sunflower Oil - for cooking"
501,"1 cup Cashew nuts,1 cup Raw Peanuts (Moongphali),1 cup Quinoa,1 cup Instant Oats (Oatmeal),2 cups Dates - (about 20 dates,1/2 cup Honey,1 cup Dessicated Coconut,1/2 cup Cocoa Powder - (you can use semi sweet cocoa also),1 teaspoon Ghee - at room temperature"
502,"1 onion - finely chopped, 1-1 / 2 cup gwar pods - cut into small pieces, 1/2 teaspoon cumin seeds, 1/2 teaspoon garlic - tightly, oil - as per use, 1/2 teaspoon turmeric powder, 1 teaspoon coriander powder, 1/2 teaspoon cumin powder, 1 teaspoon red chili powder, salt - as per use"
