,TranslatedIngredients
1271,"blackbeans,extravirginoliveoil,clovesarlic,onion,tomato,greenbellpeppercapsicum,carrotgajjar,cuminpowderjeera,driedoregano,redchilliflakes,corianderdhanialeaves,salt,lemonjuice,freshorangejuice,extravirginoliveoil,clovesarlic,cuminpowderjeera,driedoregano,redchilliflakes,salt"
1272,"wholewheatbrownbread,butter,onions,salt,blackpepperpowder,wholeeggs,egyolks,lemonjuice,butter,redchillipowder,salt"
1273,"uavajuice,papayajuice,champagne,lemon,uava,papaya"
1274,"tortillas,redbellpeppercapsicum,yellowzucchini,carrotsgajjar,cucumber,onion,huncurdgreekyogurt,clovesarlic,spricorianderdhanialeaves,blackpepperpowder,salt"
1275,"wholewheatflour,bajraflourpearlmillet,bakinpowder,sugar,butter,sunfloweroil,chilledwater,salt,paneerhomemadecottagecheese,spinach,redyellowandreenbellpepperscapsicum,britanniacreamcheese,driedoregano,blackpepperpowder,mozzarellacheese,redchilliflakes"
1276,"smallbrinjalbainganeggplant,onions,figaropureoliveoil,garlic,greenchillies,inchinger,redchillipowder,corianderpowderdhania,asafoetidahing,turmericpowderhaldi,jaggery,amchurdrymangopowder,salt"
1277,"potatoesaloo,sweetpotatoes,clovesarlic,onion,extravirginoliveoil,sprinonionbulbreens,italianseasoning,wholeeggs,parsleyleaves,mozzarellacheese,saltpepper"
1278,"elephantyamsuransenairatalu,curddahiyogurt,cuminseedsjeera,turmericpowderhaldi,redchillipowder,arammasalapowder,amchurdrymangopowder,salt,sunfloweroil,spricorianderdhanialeaves"
1279,"alootikkipotato,minipitabreads,iceberlettuce,cherrytomatoes,onion,whitevinegar,freshcream,spricorianderdhanialeaves,sprimintleavespudina,extravirginoliveoil,saltpepper"
1280,"wholewheatflour,flaxseedpowderflaxmeal,butter,brownsugardemerarasugar,bakinpowder,water,dryingerpowder,chyawanprash,salt,milk,castersugar"
1281,"blackeyedbeanslobia,potatoesaloo,tamarindwater,turmericpowderhaldi,salt,onion,freshcoconut,greenchilli,clovesarlic,corianderdhaniaseeds,cardamomelaichipodsseeds,inchcinnamonstickdalchini,dryredchillies,wholeblackpeppercorns,cloveslaung,cuminseedsjeera"
1282,"milk,lemonjuice"
1283,"avarekalulilvabeans,potatoesaloo,sweetpotatoes,inger,greenchillies,onion,corianderpowderdhania,arammasalapowder,cuminpowderjeera,turmericpowderhaldi,mintleavespudina,corianderdhanialeaves,sunfloweroil,salt"
1284,"wholewheatflour,wholeeggs,onion,greenchillies,corianderdhanialeaves,blackpepperpowder,sunfloweroil,salt"
1285,"curddahiyogurt,corianderdhanialeaves,freshcoconut,greenchilli,cuminseedsjeera,mustardseeds,whiteuraddal,dryredchilli,asafoetidahing,sunfloweroil,salt"
1286,"arhardaltoordal,greenchillies,clovesarlic,tomato,onion,tamarindpaste,turmericpowderhaldi,salt,hee,curryleaves,mustardseeds,asafoetidahing"
1287,"reenpeasmatar,sweetcorn,paneerhomemadecottagecheese,inchinger,sunfloweroil,purposepiecrust,cuminseedsjeera,asafoetidahing,reenchutneycoriandermint,corianderpowderdhania,arammasalapowder,redchillipowder,fennelpowder,amchurdrymangopowder,blackpepperpowder,salt"
1288,"instantoatsoatmeal,ripebananas,freshcoconut,honey,milk,water"
1289,"wholewheatbrownbread,cucumber,huncurdgreekyogurt,driedoregano,redchilliflakes,freshthymeleaves,salt,spridillleaves"
1290,"beetroots,reenpeasmatar,onion,tomato,inger,arlic,curddahiyogurt,turmericpowderhaldi,bayleaftejpatta,spricurryleaves,corianderdhanialeaves,hee,salt,cloveslaung,cardamomelaichipodsseeds,cinnamonstickdalchini,staranise,dryredchillies,cashewnuts,corianderdhaniaseeds,cuminseedsjeera,fennelseedssaunf"
1291,"kabulichanawhitechickpeas,spinachleavespalak,onion,tomato,greenchilli,inchinger,clovesarlic,salt,arammasalapowder,turmericpowderhaldi,redchillipowder,corianderpowderdhania,bayleavestejpatta,cardamomelaichipodsseeds"
1292,"spinachleavespalak,clovesarlic,butter,salt,blackpepperpowder,mixedherbs"
1293,"cabbage,huncurd,redchillipowder,arammasalapowder,chaatmasalapowder,turmericpowder,corianderpowder,celery,kasoorifenugreek,ramflour,oil,"
1294,"kalachanabrownchickpeas,tamarind,sambarpowder,jaggery,mustardseeds,methiseedsfenugreekseeds,sesamegingellyoil,freshcoconut,spricurryleaves,salt,water"
1295,"riceflour,pohaflattenedrice,dillleaves,greenchilli,cuminseedsjeera,salt"
1296,"wholewheatbrownbread,huncurdgreekyogurt,sweetcorn,redbellpeppercapsicum,parsleyleaves,redchilliflakes,salt"
1297,"riceflour,mangoripe,salt,bakinsoda,fennelseedssaunf,freshcoconut,sugar,ghee,bananaleaf"
1298,"reenpeasmatar,sunfloweroil,cuminseedsjeera,turmericpowderhaldi,redchillipowder,corianderpowderdhania,kasurimethidriedfenugreekleaves,salt,arammasalapowder,onions,tomatoes,greenchillies,clovesarlic,inchinger,cashewnuts,almondmilkbadammilk"
1299,"potatoesaloo,carrots,reenpeasmatar,tomatoes,onion,inchinger,clovesarlic,ajwaincaromseeds,turmericpowderhaldi,redchillipowder,corianderdhaniapowder,arammasalapowder,salt,mustardoil,corianderdhanialeaves"
1300,"tomato,clovesarlic,cheese,mixedherbs,redchilliflakes,extravirginoliveoil,salt,purposeflourmaida,butter,salt,sugar,chilledwater"
1301,"snakeourdpudulangai,onion,greenchillies,cuminpowderjeera,turmericpowderhaldi,sunfloweroil,mustardseeds,freshcoconut,salt,curryleaves"
1302,"chicken,poppyseeds,clovesarlic,inchinger,greenchillies,onion,tomato,redchillipowder,arammasalapowder,mustardoil,salt,bayleaftejpatta,cloveslaung,cardamomelaichipodsseeds,inchcinnamonstickdalchini,fennelseedssaunf,lemonjuice,inger,arlic,salt,turmericpowderhaldi,mustardoil"
1303,"rohufish,curddahiyogurt,kasurimethidriedfenugreekleaves,turmericpowderhaldi,inger,arlic,arammasalapowder,sugar,mustardoil,salt"
1304,"raisins,lazedcherries,driedfigs,tuttifrutti,badamalmond,cashewnuts,rum,butter,hee,castersugar,egyolks,vanillaextract,candiedorangepeel,caramelsauce,orange,purposeflourmaida,bakinpowder,bakinsoda,cinnamonpowderdalchini,nutmepowder,cloveslaung,dryingerpowder,milk,egwhites,lemonjuice,sugar"
1305,"bitterourd,salt,onion,ramflour,turmericpowder,redchillipowder,cuminseeds,corianderpowder,amchoorpowder,oil"
1306,"shrimps,pearlonionssambaronions,tomato,greenchilli,inchinger,clovesarlic,inchcinnamonstickdalchini,cardamomelaichipodsseeds,wholeblackpeppercorns,spricurryleaves,coconutmilk,turmericpowderhaldi,lemonjuice,sugar,salt,coconutoil"
1307,"riceflour,freshcream,greenchillies,inchinger,asafoetidahing,sesameseedstilseeds,salt,water,sunfloweroil"
1308,"chickpeachickpeachickpeas,onion,tomatoes,greenchili,inchinger,clovesarlic,salt,blacktea,inchcinnamon,cardamom,pomegranatepowder,corianderpowder,redchilipowder,arammasalapowder,lemonjuice,oil"
1309,"gmpumpkin,spricurryleaves,dryredchillies,panchfourmasala,turmericpowder,salt,mustardoil"
1310,"basafish,wholeegg,arlic,alangal,onions,corianderdhanialeaves,thairedchillibirdseyechilli,fishsauce,thairedcurrypaste,lemonjuice,paprikapowder,cornflour,sunfloweroil,salt"
1311,"bajraflourpearlmillet,wholewheatflour,potatoesaloo,methileavesfenugreekleaves,reenchilli,inger,redchillipowder,turmericpowderhaldi,cuminseedsjeera,ajwaincaromseeds,chaatmasalapowder,salt,lukewarmwater,sunfloweroil"
1312,"carrotgajjar,curddahiyogurt,rawpeanutsmoongphali,dryredchillies,kashmiriredchillipowder,greenchilli,salt"
1313,"purposeflourmaida,sugar,bakinpowder,bakinsoda,saltedbutter,cheese,corianderdhanialeaves,curddahiyogurt,wholeeggs"
1314,"onion,potatoesaloo,reenpeasmatar,corianderpowderdhania,cinnamonpowderdalchini,arammasalapowder,amchurdrymangopowder,kashmiriredchillipowder,phyllosheets,sunfloweroil,butter,salt"
1315,"wholewheatflour,vivattamaida,castersugar,butter,chocolatechips,vanillaextract,bakinsoda,bakinpowder,milk,sunfloweroil"
1316,"cookedrice,carrotgajjar,sunfloweroil,mustardseeds,greenchilli,whiteuraddal,spricurryleaves,lemonjuice,dessicatedcoconut,turmericpowderhaldi,salt"
1317,"purposeflourmaida,wholewheatflour,activedryyeast,sugar,salt,butter,milk,cornmeal"
1318,"extravirginoliveoil,clovesarlic,buttonmushrooms,reenpeasmatar,carrotsgajjar,sweetcorn,blackpepperpowder,paprikapowder,nutmeg,vegetablestock,heavywhippincream,butter,parmesancheese,egyolks,parsleyleaves,handfulwalnuts,saltpepper"
1319,"basmatirice,buttonmushrooms,onions,tomatoes,inger,arlic,greenchillies,coconutmilk,corianderdhanialeaves,redchillipowder,corianderpowderdhania,turmericpowderhaldi,arammasalapowder,sunfloweroil,inchcinnamonstickdalchini,cardamomelaichipodsseeds,bayleaftejpatta"
1320,"awarphalikothavarangaiclusterbeans,sunfloweroil,ajwaincaromseeds,onion,tomatoes,clovesarlic,inchinger,corianderpowderdhania,redchillipowder,turmericpowderhaldi,salt,spricorianderdhanialeaves"
1321,"couscous,spinach,reenbeansfrenchbeans,reenpeasmatar,celery,onion,tomato,clovesarlic,curddahiyogurt,turmericpowderhaldi,currypowder,salt,paprikapowder,extravirginoliveoil"
1322,"foxtailmillet,yellowmoondal,cardamompowderelaichi,jaggery,hee,cashewnuts"
1323,"wholeeggs,ingerpaste,cornflour,soysauce,blackpepperpowder,onion,salt,inger,greenbellpeppercapsicum,clovesarlic,greenchilli,sprinonionreens,darksoysauce,cornflour,sesamegingellyoil,salt,salt"
1324,"wholeeggs,parmesancheese,provolonecheese,freshthymeleaves,driedoregano,leek,extravirginoliveoil,clovearlic,onion,ricottacheese,kale,saltpepper"
1325,"buttonmushroom,onion,garlic,inchinger,turmericpowder,oil,salt,dryredchillies,corianderseeds,cuminseeds,wholeblackpeppercorn,greencardamom,long"
1326,"reenmoonsprouts,sweetpotato,instantoatsoatmeal,ingerarlicpaste,turmericpowderhaldi,redchillipowder,arammasalapowder,cuminpowderjeera,amchurdrymangopowder,salt,sunfloweroil"
1327,"chanadalbengalramdal,whiteuraddal,dryredchillies,corianderdhaniaseeds,inchinger,onion,tomato,salt,mustardseeds,spricurryleaves,asafoetidahing,sunfloweroil"
1328,"bhetkifish,onion,onion,clovesarlic,clovesarlic,greenchillies,bayleavestejpatta,inchcinnamonstickdalchini,cardamomelaichipodsseeds,tomatoketchup,sugar,sunfloweroil,salt,potatoesaloo,blackpepperpowder,salt,wholeegg,purposeflourmaida,wholewheatbreadcrumbs,sunfloweroil"
1329,"whiteuraddal,redmattarice,dosarice,pohaflattenedrice,chanadalbengalramdal,arhardaltoordal,methiseedsfenugreekseeds,riceflour,salt,sugar,carrotsgajjar,reenbeansfrenchbeans,turnips,kadduparangikaipumpkin,chanadalbengalramdal,tamarindpaste,jaggery,corianderdhanialeaves,sunfloweroil,cuminseedsjeera,corianderdhaniaseeds,byadagidriedchillies,gunturdriedchillies,inchcinnamonstickdalchini,turmericpowderhaldi,freshcoconut,onion,mustardseeds,dryredchilli,asafoetidahing,curryleaves,salt,roastedramdalpottukadalai,byadagidriedchillies,freshcoconut,tamarindpaste,clovesarlic,salt"
1330,"vegetablestock,coconutmilk,lemongrass,freshredchillies,coconutsugar,lemon,soysauce,carrotgajjar,reenzucchini,clovesarlic,tofu,buttonmushrooms,spricorianderdhanialeaves,inchinger,cherrytomatoes,ricevermicellinoodlesthin,salt"
1331,"ramflourbesan,riceflour,salt,methileavesfenugreekleaves,redchillipowder,asafoetidahing,turmericpowderhaldi,ajwaincaromseeds,corianderdhaniaseeds,sunfloweroil"
1332,"sprispinach,ripebananas,chiaseeds,badamalmond,dates,water,icecubes"
1333,"cookedrice,mustardseeds,whiteuraddal,rawpeanutsmoongphali,salt,wholeblackpeppercorns,cuminseedsjeera,curryleaves,sesamegingellyoil"
1334,"idlidosabatter,wholeeggs,onions,greenchilli,spricurryleaves,sprimintleavespudina,mustardseeds,turmericpowderhaldi,wholeblackpeppercorns,freshcoconut,salt,sesamegingellyoil"
1335,"pohaflattenedrice,potatoesaloo,paneerhomemadecottagecheese,carrotgajjar,blackpepperpowder,arammasalapowder,chaatmasalapowder,redchillipowder,inchinger,greenchilli,lemonjuice,purposeflourmaida,spricorianderdhanialeaves,wholewheatbreadcrumbs,sunfloweroil,salt"
1336,"spinachleavespalak,bottleourdlauki,curddahiyogurt,mintleavespudina,rocksalt,ajwaincaromseeds,amlanellikaiooseberry,lemonjuice"
1337,"purposeflourmaida,butter,sugar,brownsugardemerarasugar,wholeeggs,cocoapowder,bakinsoda,cornflour,salt,vanillaextract,nutellaspread,chocolatechips"
1338,"rasgulla,rasgullasyrup,milk,custardpowder,rosewater,pistachios"
1339,"chanadalbengalramdal,dryredchilli,curryleaves,fennelseedssaunf,sunfloweroil,inchcinnamonstick,cloveslaung,cardamomelaichipodsseeds,wholeblackpeppercorns,bayleaftejpatta,greenchilli,spricurryleaves,onion,inchinger,clovesarlic,homemadetomatopuree,turmericpowderhaldi,redchillipowder,corianderpowderdhania,salt,sprimintleavespudina"
1340,"kunafapastry,butter,sugar,vanillaextract,milk,cornflour,sugar,vanillaextract,sugar,water"
1341,"chanadalbengalramdal,water,instantoatsoatmeal,freshcoconut,jaggery,riceflour,rajgiraflouramaranthflour,cardamompowderelaichi,cashewnuts,dates,raisins,hee,salt"
1342,"arhardaltoordal,wholewheatflour,kashmiriredchillipowder,salt,curddahiyogurt,corianderdhanialeaves,onions,ghee"
1343,"ramflourbesan,greenchillies,onion,potatoaloo,ajwaincaromseeds,cookinsoda,salt,water,sunfloweroil,curddahiyogurt,ramflourbesan,turmericpowderhaldi,greenchillies,inchinger,water,salt,hee,mustardseeds,curryleaves,redchillipowder,dryredchillies,asafoetidahing,spricorianderdhanialeaves"
1344,"extravirginoliveoil,carrotsgajjar,yellowzucchini,babycorn,buttonmushrooms,drymixherbs,redbellpeppercapsicum,pickledjalapenos,wholeblackpeppercorns,salt,extravirginoliveoil,clovesarlic,homemadetomatopuree,freshcream"
1345,"prawns,coconutmilk,coconutmilk,fennelseedssaunf,blackpepperpowder,corianderpowderdhania,redchillipowder,turmericpowderhaldi,greenchilli,spricurryleaves,corianderdhanialeaves,tamarindpaste,inchinger,clovesarlic,tomatoes,onion,mustardseeds,salt,coconutoil"
1346,"rice,yellowmoondal,mint,coriander,greenchili,inchinger,cuminseeds,water,oil,salt,hee,cashews,cuminseeds,wholepepper,spricurryleaves,asafetida"
1347,"paneer,coals,tomatopuree,cream,mint,budarlic,ginger,fennel,celery,saffron,littlecuminpowder,corianderpowder,chaatmasalapowder,arammasalapowder,blackpepperpowder,redchillipowder,blacksaltrocksalt,turmericpowder,salt,salt"
1348,"yellowmoondal,inger,cuminseedsjeera,redchillipowder,asafoetidahing,salt,bottleourdlauki,tomato,onion,greenchillies,inger,panchphoranmasala,turmericpowderhaldi,corianderpowderdhania,salt,sugar,mustardoil,sunfloweroil,corianderdhanialeaves"
1349,"broccoli,buttonmushroom,cumin,wholepepper,salt,cream,coriander,oil"
1350,"masoordal,tomatoes,onion,clovesarlic,inchinger,greenchillies,kasurimethidriedfenugreekleaves,sunfloweroil,redchillipowder,salt,turmericpowderhaldi,arammasalapowder,corianderpowderdhania,cuminpowderjeera"
1351,"cauliflowergobi,potatoesaloo,curryleaves,corianderpowderdhania,arammasalapowder,redchillipowder,turmericpowderhaldi,asafoetidahing,salt,sunfloweroil,kasurimethidriedfenugreekleaves,lemonwedges"
1352,"milk,semiyavermicelli,water,sugar,cashewnuts,raisins,cardamompowderelaichi,saffronstrands,hee"
1353,"mango,mustardseeds,dryredchillies,panchphoranmasala,cuminseedsjeera,fennelseedssaunf,kalonjionionnigellaseeds,methiseedsfenugreekseeds,mustardseeds,sunfloweroil,jaggery,salt,ramflourbesan,turmericpowderhaldi,salt,sugar,enosfruitsalt,mango,sunfloweroil"
1354,"bottleourdlauki,paneerhomemadecottagecheese,turmericpowderhaldi,arammasalapowder,rajgiraflouramaranthflour,salt,tomatoes,greenchillies,bayleaftejpatta,cinnamonstickdalchini,cardamomelaichipodsseeds,turmericpowderhaldi,corianderpowderdhania,curddahiyogurt,salt,spricorianderdhanialeaves,sunfloweroil"
1355,"mutton,sunfloweroil,onion,arlic,inger,redchillipowder,corianderpowderdhania,turmericpowderhaldi,curddahiyogurt,corianderdhaniaseeds,bayleaftejpatta,cloveslaung,wholeblackpeppercorns,dryredchilli,inchcinnamonstickdalchini,salt"
1356,"rice,salt,sunfloweroil,wholeblackpeppercorns,blackuraddal,freshredchilli,asafoetidahing,blackpepperpowder,sunfloweroil,whiteuraddal,mustardseeds,cashewnuts,curryleaves,hee"
1357,"redbabyradish,sweetpotatoes,onion,fennelseedssaunf,ajwaincaromseeds,blackpepperpowder,bayleavestejpatta,vegetablestock,sunfloweroil,salt,huncurdgreekyogurt,spricorianderdhanialeaves,moolimullangiradish"
1358,"chickenbreasts,buttermilk,salt,blackpepperpowder,purposeflourmaida,wholeeggs,wholewheatbreadcrumbs,cornflakes,driedoregano,blackpepperpowder,salt,arlicpowder,onionpowder,paprikapowder,sunfloweroil"
1359,"spinachleavespalak,extravirginoliveoil,clovearlic,stalkcorianderdhanialeaves,milk,vegetablestock,blackpepperpowder,salt"
1360,"mango,kadduparangikaipumpkin,greenchillies,inger,dryredchillies,cuminseedsjeera,fennelseedssaunf,methiseedsfenugreekseeds,wholeblackpeppercorns,corianderdhaniaseeds,freshcoconut,sunfloweroil"
1361,"pumpkin,oil,mustard,cuminseeds,inger,arlic,greenchillies,onion,curryleaves,redchillipowder,turmericpowder,corianderpowder,salt,water,tamarind,jaggery"
1362,"chickenbreasts,onion,clovesarlic,salt,sunfloweroil,freshorangejuice,redchillisauce,cornflour,blackpepperpowder"
1363,"paneerhomemadecottagecheese,mustardoil,saffronstrands,bayleaftejpatta,cinnamonstickdalchini,cloveslaung,milk,water,turmericpowderhaldi,cuminpowderjeera,fennelpowder,salt,cardamompowderelaichi,corianderdhanialeaves"
1364,"wholewheatflour,activedryyeast,sugar,extravirginoliveoil,milk,salt,onion,capers,freshthymeleaves,driedoregano"
1365,"purposeflourmaida,ramflourbesan,turmericpowderhaldi,kashmiriredchillipowder,hee,salt,water,poppyseeds,sesameseedstilseeds,dessicatedcoconut,inger,reenchilli,corianderpowderdhania,arammasalapowder,turmericpowderhaldi,cuminpowderjeera,ajwaincaromseeds,asafoetidahing,corianderdhanialeaves,mintleavespudina,sugar,lemon,sunfloweroil"
1366,"wholewheatflour,purposeflourmaida,sunfloweroil,salt,lukewarmwater,jaggery,ramflourbesan,hee,sesameseedstilseeds,poppyseeds,cardamompowderelaichi,water,ghee"
1367,"potatoesaloo,reenpeasmatar,riceflour,freshcoconut,corianderdhanialeaves,greenchillies,inchinger,sugar,lemonjuice,sesameseedstilseeds,turmericpowderhaldi,asafoetidahing,sunfloweroil,salt"
1368,"mutton,onions,inger,arlic,blackcardamombadielaichi,cardamomelaichipodsseeds,cinnamonstickdalchini,freshredchillies,cloveslaung,macepowder,kashmiriredchillipowder,turmericpowderhaldi,cuminpowderjeera,wholeblackpeppercorns,mustardoil,curddahiyogurt,salt"
1369,"tofu,carrotsgajjar,reenpeasmatar,broccoli,redbellpeppercapsicum,turmericpowderhaldi,chinesespicepowder,coconutmilk,homemadetomatopuree,sesamegingellyoil,stalklemonrass,sprinonionreens,freshredchillies,inchinger,clovesarlic"
1370,"ridgeourdturaipeerkangai,wholeeggs,onion,greenchillies,inchinger,cuminseedsjeera,redchillipowder,cuminpowderjeera,arammasalapowder,blackpepperpowder,sunfloweroil,salt"
1371,"whiteuraddal,chanadalbengalramdal,sesameseedstilseeds,dryredchillies,spricurryleaves,clovesarlic,asafoetidahing,salt,idlidosabatter,sesamegingellyoil"
1372,"mutton,bayleaftejpatta,inchcinnamonstickdalchini,cloveslaung,cardamomelaichipodsseeds,dryredchilli,ingerarlicpaste,milk,curddahiyogurt,salt,badamalmond,cashewnuts,onions"
1373,"darkchocolate,butter,brownsugardemerarasugar,vanillaextract,purposeflourmaida,cocoapowder,bakinpowder,salt,walnuts,flaxseedpowderflaxmeal,chilledwater"
1374,"cucumbers,redchilliflakes,vinegar,soysauce,brownsugardemerarasugar,extravirginoliveoil,sesameseedstilseeds,blacksesameseeds"
1375,"dosarice,cucumber,freshcoconut,salt,sunfloweroil"
1376,"purposeflourmaida,castersugar,honey,vanillaextract,butter,chocolatechips"
1377,"greenchillies,potatoesaloo,ramflourbesan,ajwaincaromseeds,redchillipowder,arammasalapowder,chaatmasalapowder,amchurdrymangopowder,blacksaltkalanamak,cuminpowderjeera,corianderdhanialeaves,greenchilli,chaatmasalapowder,salt,sunfloweroil"
1378,"potatoesaloo,onion,clovesarlic,mustardseeds,whiteuraddal,spricurryleaves,cuminseedsjeera,redchillipowder,turmericpowderhaldi,corianderpowderdhania,cuminpowderjeera"
1379,"rabodi,tomatopuree,capsicumgreen,onion,longarlic,turmericpowder,redchilipowder,corianderpowder,arammasalapowder,salt,oil"
1380,"gmarabic,onions,onions,inchinger,garlic,redchillipowder,turmericpowder,arammasalapowder,corianderpowder,cardamom,inchcinnamon,long,yogurt,salt,ghee,roseleaves"
1381,"wholewheatbrownbread,butter,classicmayonnaisewithegg,blackpepperpowder,tomatoes,avocado,cheese,redchilliflakes"
1382,"brusselsprouts,onion,redbellpeppercapsicum,homemadetomatopuree,sunfloweroil,mustardseeds,cuminseedsjeera,cuminpowderjeera,corianderpowderdhania,redchillipowder,turmericpowderhaldi,arammasalapowder,bayleaftejpatta,inchinger,clovesarlic,salt,spricorianderdhanialeaves"
1383,"reenmoondal,reenpeasmatar,greenchillies,onion,ramflourbesan,mintleavespudina,arlic,inger,corianderdhanialeaves,cuminpowderjeera,arammasalapowder,salt,sunfloweroil"
1384,"pomegranatejuice,anardanapowderpomegranateseedpowder,redwine,butter,arlic,wholeblackpeppercorns,jaggery,salt,rosemary"
1385,"mangoripe,condensedmilk,coconutmilk,mintleavespudina"
1386,"makkikaattayellowcornmealflour,milk,water,wholeblackpeppercorns,extravirginoliveoil,salt,homemadepizzapastasauce,redyellowandreenbellpepperscapsicum,buttonmushrooms,mixedherbs,onions,cheese"
1387,"babycorn,reenpeasmatar,onion,greenchillies,inchinger,mustardseeds,asafoetidahing,turmericpowderhaldi,cuminseedsjeera,redchillipowder,arammasalapowder,salt,sunfloweroil,spricurryleaves,spricorianderdhanialeaves"
1388,"brinjalbainganeggplant,tomatobasilpastasauce,sprigsbasilleaves,mozzarellacheese,parmigianoreggianocheese,wholewheatbreadcrumbs,saltpepper"
1389,"vellaipoosanikaiashourdwhitepumpkin,sugar,cardamompowderelaichi,saffronstrands,cashewnuts,hee"
1390,"paneerhomemadecottagecheese,curddahiyogurt,onion,clovesarlic,inchinger,greenchilli,bayleaftejpatta,kalonjionionnigellaseeds,cuminseedsjeera,corianderdhaniaseeds,turmericpowderhaldi,blackpepperpowder,cloveslaung,cardamomelaichipodsseeds,inchcinnamonstickdalchini,yellowmustardseeds,sesameseedstilseeds,methiseedsfenugreekseeds,fennelseedssaunf,amchurdrymangopowder,redchillipowder,staranise,anardanapowderpomegranateseedpowder,blacksaltkalanamak,saffronstrands,sunfloweroil,salt"
1391,"milk,sugar,saffronstrands,cardamompowderelaichi,pistachios"
1392,"ramflourbesan,riceflour,spinach,onion,greenchilli,clovesarlic,inchinger,fennelseedssaunf,enosfruitsalt,sspasafoetidahing,salt,sunfloweroil,chaatmasalapowder"
1393,"potatoes,curd,ramflour,asafoetida,cuminseeds,spricurryleaves,onion,inger,arlic,greenchillies,redchillipowder,corianderpowder,turmericpowder,salt,oil,coriander"
1394,"cowpeapods,coconut,turmericpowder,mustard,whiteuraddal,asafoetida,oil,curryleafsalt,salt"
1395,"chowchow,rye,whiteuraddal,asafoetida,turmericpowder,curryleaves,oil,accordinto"
1396,"basmatirice,mutton,onions,inger,arlic,greenchillies,curddahiyogurt,sunfloweroil,hee,salt,corianderpowderdhania,redchillipowder,cloveslaung,wholeblackpeppercorns,bayleavestejpatta,ajwaincaromseeds,cardamomelaichipodsseeds,blackcardamombadielaichi,inchcinnamonstickdalchini,staranise,greenchillies,mintleavespudina,corianderdhanialeaves,cashewnuts,raisins,lemonjuice,saffronstrands,wholeeggs,onions"
1397,"bottleourdlauki,shallots,drumstick,tomato,clovesarlic,inchinger,tamarindwater,sambarpowder,salt,sesamegingellyoil,mustardseeds,methiseedsfenugreekseeds,spricurryleaves"
1398,"carrots,greenbeans,cabbage,potatoes,tofu,onions,greenchilies,ingerarlicpaste,turmericpowder,redchillipowder,cardamompowder,largecardamom,long,inchinger,coconutcurd,coconutmilk,mint,saffron,silverwork,pineapple,kisameys,cashewnuts,almond,pistachios,arammasalapowder,coconutoil,poppyseeds,cashewnuts,almonds"
1399,"chickenlegs,onion,spricorianderdhanialeaves,greenchillies,inchinger,clovesarlic,cuminseedsjeera,salt,sunfloweroil,mixedvegetables"
1400,"milk,freshcream,wholeeggs,vanillaextract,nutmepowder,salt,castersugar,freshcoconut,butter,wholewheatbrownbread,maplesyrup"
1401,"tamarindwater,arhardaltoordal,rasampowder,clovesarlic,fennelseedssaunf,wholeblackpeppercorns,greenbellpeppercapsicum,tomato,spricurryleaves,sunfloweroil,mustardseeds,asafoetidahing,spricurryleaves,dryredchilli"
1402,"reenram,greenchillies,clovesarlic,salt,water,oil,cuminseeds,yogurt"
1403,"wholewheatflour,bakinpowder,cinnamonpowderdalchini,dryingerpowder,clovepowderlaung,nutmepowder,wholeeggs,butter,milk,brownsugardemerarasugar,maplesyrup"
1404,"blackeyedbeanslobia,sunfloweroil,cuminseedsjeera,fennelseedssaunf,inchcinnamonstickdalchini,onion,greenchillies,ingerarlicpaste,redchillipowder,turmericpowderhaldi,salt,corianderpowderdhania,arammasalapowder,cuminpowderjeera,sugar,tamarindpaste,homemadetomatopuree,milk"
1405,"peanuts,coconut,greenchillies,redchilipowder,jaggery,long,kokum,spricurryleaves,hee,cumin,water,salt"
1406,"tortillas,homemademarinarasauce,extravirginoliveoil,arlic,mozzarellacheese,redyelloworreenbellpeppercapsicum,onions,kalmattaolives,buttonmushrooms"
1407,"dryredchillies,pinenuts,parmesancheese,cuminpowderjeera,clovesarlic,spribasilleaves,tomatoes,extravirginoliveoil,salt,spaghettipasta"
1408,"wholewheatflour,sunfloweroil,hee,water,jaggery,hee,ripebananas,castersugar"
1409,"brokenrawrice,freshcoconut,salt,sunfloweroil"
1410,"drumstick,onion,ingerarlicpaste,redchillipowder,turmericpowderhaldi,salt,roastedpeanutsmoongphali,corianderdhaniaseeds,cloveslaung,inchcinnamonstickdalchini,freshcoconut,tomato"
1411,"kabulichanawhitechickpeas,kasurimethidriedfenugreekleaves,tomatoes,cashewnuts,redchillipowder,turmericpowderhaldi,arammasalapowder,bayleaftejpatta,sunfloweroil,greenchilli,salt,cinnamonstickdalchini,cloveslaung,cuminseedsjeera,corianderdhaniaseeds"
1412,"arhardaltoordal,brinjalbainganeggplantde,greenchillies,clovesarlic,cuminseedsjeera,drycoconutkopra,kokummalabartamarind,jaggery,maharashtrianodamasala,asafoetidahing,curryleaves,mustardseeds,turmericpowderhaldi,salt,spricorianderdhanialeaves,sunfloweroil"
1413,"palmjaggery,water,dryingerpowder,corianderdhaniaseeds,cuminseedsjeera,wholeblackpeppercorns,fennelseedssaunf"
1414,"onions,tomatoes,freshredchillies,clovesarlic,extravirginoliveoil,spaghettipasta,salt,blackpepperpowder"
1415,"mutton,wholeeggs,onion,ingerarlicpaste,redchillipowder,turmericpowderhaldi,cuminpowderjeera,corianderpowderdhania,salt,sunfloweroil,water,purposeflourmaida,wholeeggs,wholewheatbreadcrumbs,sunfloweroil"
