TranslatedRecipeName,TranslatedIngredients
Cream Cheese Scrambled Eggs Recipe,"whole eggs,cheese spread,black pepper powder,green bell pepper"
Pavakkai Poriyal Recipe - Karela Ki Sabzi,"white urad dal,sprig curry leaves,sambar powder,jaggery,karela,ssp asafoetida,amchur,roasted peanuts"
 Manga Ogre Recipe,"rice,raw mango,coconut,rye,green coriander,jaggery,oil,spoon curry leaves,rye,chana dal"
 Lobia Masala Recipe,"cowpea,tomato puree,tighten cloves garlic,inch cinnamon,garam masala powder,jaggery,lemon juice,olive oil,green coriander"
Vietnamese Rice Pocket Recipe With Caramelised Onions & Chillies,rice
Mixed Vegetable Samosa Recipe,"lemon juice,curry leaves,garam masala powder,purpose flour,ajwain,potatoes,green peas,carrot"
Lugai Gosht Recipe - Mutton In Spicy Tomato Onion Gravy,"mutton,ginger garlic paste,whole black peppercorns,cardamom,inch cinnamon stick,cumin powder"
 Carrot Chutney (Recipe In Hindi),"carrots,mustard,good,oil,mustard,curry leaves"
Dal Palak Recipe With Moong & Masoor Dal,"yellow moong dal,garam masala powder,masoor dal,spinach leaves,cumin powder"
Mumbai Style Pani Puri Recipe,"pani puris,boondi,green chutney,coriander  mint,sweet chutney,date  tamarind,green moong dal"
Spicy Moroccan Eggs Recipe,"extra virgin olive oil,harissa paste,vegetable stock,whole eggs,salt pepper,kala chana,yellow bell pepper,spinach leaves"
Zoodles Salad Recipe - Zucchini Noodles,"green zucchini,extra virgin olive oil,black pepper powder,lemon juice,basil leaves,cherry tomatoes"
Paneer Makhana Gulgule Chaat Recipe - No Onion No Garlic,"black pepper powder,cucumber,lemon juice,paneer,potatoes,phool makhana,gram flour,cumin powder,green chutney,coriander  mint,sweet chutney,date  tamarind"
Insalata Caprese Salad Recipe,"mozzarella cheese,basil leaves,red wine vinaigrette,extra virgin olive oil,black pepper powder"
Mutton Matar Keema Recipe -Minced Mutton With Green Peas,"mutton,ginger,black pepper powder,curd,potatoes,green peas,bay leaf,cloves,inch cinnamon stick,cardamom,black cardamom,ajwain"
Rajma Wrap Recipe With Carrot Cucumber Sandwich Spread,"whole wheat flour tortilla,veeba carrot cucumber sandwich spread,eggless mayonnaise,veeba pizza & pasta sauce,mint leaves,rajma,red bell pepper"
 Palak Chana Dal Recipe,"chana dal,spinach,cumin,ginger garlic paste,red chili powder,cumin powder"
Apple Pancake Mess Recipe,"apple,chia seeds,fresh coconut,fresh pomegranate fruit kernels,baking powder,milk,butter,whole egg,butter,cinnamon powder,brown sugar,curd,purpose flour"
French Onion Tart Recipe,"red onion,balsamic vinegar,fresh thyme leaves,lemon,chilled butter,chilled water,butter,purpose flour"
Rajasthani Makki Ka Chatpata Dhokla Recipe,"baking soda,sprig coriander,makki ka atta"
Garlic And Mushroom Soup Recipe,"button mushrooms,leek,vegetable stock,sprig fresh thyme leaves,extra virgin olive oil,whole wheat brown bread,button mushrooms,salt pepper,extra virgin olive oil,parsley leaves,lemon wedges"
Arbi Ke Meethe Chande Recipe,colocasia root
"Millet Cottage Cheese Fritters Recipe-Flavored With  Za'atar,","whole wheat brown bread,butter,foxtail millet,za'atar,paneer,sprig coriander,sesame seeds"
Spicy Whole Wheat Roti Taco Bowls Recipe,"phulka,butter,cheddar cheese,sour cream,tomato salsa,refried beans"
Egyptian Koshari Recipe,"whole black peppercorns,paprika powder,nutmeg,rice,macaroni pasta,vegetable stock,extra virgin olive oil,red wine vinaigrette,red chilli flakes,salt pepper,extra virgin olive oil,cardamom powder,cloves,cinnamon stick,masoor dal,bay leaves,kabuli chana"
Shakarkandi Ke Gulab Jamun Recipe (Sweet Potato Gulab Jamun),"sweet potato,drops rose water,saffron strands,purpose flour,cardamom powder"
Kadai Chicken Recipe - Chicken Cooked With Onion And Capsicum,"chicken breasts,homemade tomato puree,garam masala powder,fresh cream,green bell pepper,sprig coriander"
Hayagreeva Recipe,"jaggery,poppy seeds,chana dal,dry coconut,cardamom powder"
Tomato Garlic Chutney Recipe,
Neymeen Vatti Pattichathu Recipe - Seer Fish In Spicy Masala,"seer fish,sprig curry leaves,tamarind water,coconut milk,lemon juice,coconut oil"
Mutton Khurdi Recipe - Bohra Style White Mutton Stock Soup,"mutton,ginger,garlic,whole black pepper corns,whole wheat flour,milk,black pepper powder,lemon,bay leaves,cloves,inch cinnamon stick,sprig mint leaves"
Delicious Arabic Sweet Kunafa Recipe (Knafeh),"butter,pistachios,milk,corn flour,rose water,ricotta cheese,lemon juice,rose water,kunafa dough"
Pineapple Carpaccio Recipe - Spiced Pineapple Salad with Ginger & Mint,"pineapple,sea salt,fresh fruits,extra virgin olive oil,fresh orange juice,lemon juice,honey,sprig mint leaves"
Churros Recipe With Cinnamon & Sugar | Eggless Recipe,"milk,butter,baking powder,caster sugar,purpose flour,cinnamon powder"
Buttered Potato Cubes Recipe - Finger Food For Babies Above 9 Months,"black pepper powder,potato,butter,cumin powder"
Sweet Potato & Green Bean Salad Recipe,"sweet potatoes,cherry tomatoes,red onion,extra virgin olive oil,lemon juice,salt pepper,green beans"
Shikampuri Kebab Recipe - Kebabs made with Brown Chickpeas,"garam masala powder,black pepper powder,lemon juice,kala chana,potato,amchur,sprig coriander,gram flour,hung curd"
Dum Ke Baingan Recipe,"lemon juice,black pepper powder,small green brinjal,cardamom,inch cinnamon stick,cloves,bay leaf"
Chettinad Poondu Rasam Recipe | Spicy Garlic Rasam,"tamarind,sprig curry leaves,black pepper powder,arhar dal,cumin powder,sprig coriander"
Bonda Mor Kuzhambu Recipe,"fresh coconut,sprig curry leaves,white urad dal,ginger,curd,arhar dal,chana dal"
Coorg Style Bollari Barthad Recipe - Mangalore Cucumber Stir Fry,"mangalorean cucumber,fresh coconut,white urad dal,curry leaves"
Lahsuni Paneer Recipe - Paneer Flavoured With Garlic,"vinegar,paneer"
Kandathippili Rasam Recipe - Long Pepper Rasam,"sprig curry leaves,tamarind,long pepper,sprig curry leaves,sprig coriander"
Mavinakayi Menasinakai Curry Recipe  - Raw Mango Coconut Curry,"jaggery,tamarind water,fresh coconut,white urad dal,coconut oil,curry leaves,mango,chana dal,methi seeds,sesame seeds,ssp asafoetida"
Aloo Chaat Recipe With Baked Beans - Roz Ka Khana With Figaro Olive Oil,"whole wheat brown bread,baked beans,chaat masala powder,sev,extra virgin olive oil,potatoes,cumin powder,green chutney,coriander  mint,sweet chutney,date  tamarind,anardana powder"
Soft Masala Dosa With Red Chutney Recipe,"idli dosa batter,chaat masala powder,potato masala,ginger,curry leaves,lahsun ki chutney,potatoes"
"Sweet Potato, Broccoli And Tofu Curry Recipe","broccoli,sweet potato,tofu,kala jeera,cashew nuts,garam masala powder,cumin powder"
Crispy Crunchy Roti Ke Papad Recipe,"tawa paratha,chaat masala powder"
Pepper Tea Recipe - Kali Mirch Chai,"whole black peppercorns,honey,lemon juice"
Lebanese Style Shish Tawook Recipe - Grilled Chicken Skewers,"boneless chicken,paprika powder,ginger,dried oregano,dried thyme leaves,extra virgin olive oil,lemon juice,tomato ketchup,black pepper powder,hung curd,green bell pepper"
Bengali Bhindi Doi Posto Recipe,"poppy seeds,mustard oil,panch phoran masala,bhindi,roasted gram dal,curd,bay leaf"
Cajun Kidney beans Rice With Soya Chunks Recipe,"rice,ginger garlic paste,dried oregano,dried thyme leaves,red chilli sauce,red chilli flakes,rajma,soy chunks,sprig coriander"
Papad er Dalna Recipe - Bengali Papad Curry,"papad,garam masala powder,potato,bay leaf,cumin powder"
Pudina Rice Recipe,"rice,tamarind paste,white urad dal,mint leaves"
Sugar Free Pineapple Dates Cake Recipe,"pineapple,dates,baking soda,whole eggs,vanilla extract,salted butter,raisins,purpose flour"
Kathal Masaledar Sabzi Recipe - Jackfruit Masala Sabzi,"garam masala powder,homemade tomato puree,mustard oil,jackfruit raw,potatoes,bay leaf,curd,inch cinnamon stick,black cardamom,cumin powder"
Delicious Breakfast Anda Ghotala Recipe With Butter Pav,"butter,pav bhaji masala,boiled egg,butter,whole eggs,pav bhaji masala,pav bhaji masala,cumin powder"
Achari Aloo Sabzi Recipe - Potatoes In Spicy Pickle Masala,"punjabi style mango pickle,jaggery,mustard oil,garam masala powder,potatoes"
Panjiri Ladoo Recipe,"dry ginger powder,whole black peppercorns,caster sugar,ajwain,fennel seeds"
Palak Paneer Bhurji Recipe -Spiced Cottage Cheese Scramble With Spinach Recipe,"garam masala powder,butter,paneer,spinach leaves,amchur"
Fujian Style Green Vegetables Stir Fry Recipe,"bok choy,button mushrooms,lotus stem,dark soy sauce,honey,red chilli sauce,cabbage,sprig spring onion,bulb  greens"
Petha Wadi Sabzi Recipe,"badi,kaddu"
Jain Style Dal Makhani Recipe,"garam masala powder,dry ginger powder,milk,fresh cream,black urad dal,rajma,inch cinnamon stick,cloves,black cardamom"
Adraki Rajma Masala Recipe - Rajma Masala Recipe,"black pepper powder,dry ginger powder,garam masala powder,rajma,bay leaf"
Muesli Banana Fritters Recipe,"muesli,cocoa powder,honey,butter,nendra pazham banana"
Canadian Egg Free Butter Tart Recipe (Eggless),"butter,raisins,butter,corn flour,vanilla extract,nutmeg powder,purpose flour,brown sugar,hung curd,cinnamon powder"
Beet Carrot and Apple Salad in Orange Mustard Vinaigrette Recipe,"beetroot,apple,walnuts,fresh orange juice,lemon juice,mustard sauce,extra virgin olive oil,black pepper powder,carrot,mint leaves,sesame seeds,orange zest"
Mango Tomato Bean Salsa Recipe,"lemon juice,kosher salt,mango,rajma,sprig mint leaves"
High Protein Soya Idli & Dosa Batter Recipe,"idli rice,soybeans,white urad dal,methi seeds,chana dal"
"Bread, Paneer & Potato Instant Vada Recipe","whole wheat brown bread,rice flour,curd,sooji,paneer,potato"
Paneer Kundan With Recipe,"kashmiri red chilli powder,garam masala powder,fresh cream,rose petals,paneer,cardamom,bay leaf,cloves,inch cinnamon stick,curd"
Rajasthani Govind Gatta Curry Recipe,"cashew nuts,raisins,dessicated coconut,garam masala powder,gram flour,ajwain,curd,khoya,khoya,curd,gram flour,cumin powder,bay leaf"
Maheri Recipe,"barnyard millet,buttermilk"
Tamatar Wali Arbi Sabzi Recipe,"tamarind,kashmiri red chilli powder,garam masala powder,panch phoran masala,colocasia leaves,sprig coriander"
Achari Paratha Roll Recipe,"whole wheat flour,achari masala,garam masala powder,potatoes,kaddu,green peas"
Garlic Spinach Balls Recipe,"spinach,dried oregano,potatoes,purpose flour"
Carrot Matar Paratha Recipe,"whole wheat flour,chaat masala powder,carrots,green peas,ajwain,cumin powder"
Steamed Sweet Corn Recipe Flavored with Chaat Masala Recipe,"sweet corn,chaat masala powder,lemon juice,black salt"
Jalapeno Potato Cheese Balls Recipe With Four Pepper Cheese Dip,"britannia cheese cubes,pickled jalapenos,sprig parsley leaves,whole eggs,whole wheat bread crumbs,britannia cheese spread,sprig parsley leaves,potatoes,mixed herbs,hung curd"
Masala Akki Roti Recipe - Spicy Rice Flour Flatbread,"rice flour,fresh coconut,dill leaves,carrot,green bell pepper,cabbage"
Kongunadu Special Pattani Biryani Recipe (Green Peas Biryani From Kongunadu),"basmati rice,ginger,bay leaves,cardamom,inch cinnamon stick,cloves,fennel seeds,pearl onions,mint leaves,green peas"
Jowar Garlic Naan Recipe- Healthy Sorghum Naan,"whole wheat flour,active dry yeast,jowar flour,methi leaves,curd"
Allahabadi Tehri Recipe (UP Style Vegetable Rice),"basmati rice,mixed vegetables,black cardamom,whole black peppercorns,mustard oil,lemon juice,curd,cinnamon stick,bay leaf,cardamom,cloves,cumin powder"
Kale Chane Ki Kadhi Recipe - Black Chickpea Kadhi,"sprig curry leaves,kala chana,curd,gram flour"
Healthy Fresh Vegetable Salad Bowl with Sour Yogurt Dressing Recipe,"cherry tomatoes,english cucumber,sprig parsley leaves,tofu,lemon juice,tzatziki,yellow bell pepper,hung curd"
Badam Nu Gosht Recipe - Parsi Style Mutton In Almond Gravy,"mutton,milk,black pepper corns,bay leaves,badam,inch cinnamon stick,cloves"
Homemade Whole Wheat Pav Recipe / Ladi Pav,"whole wheat flour,active dry yeast,milk,honey,butter,milk,honey,purpose flour"
"Whole Wheat Pizza With Egg, Bell Peppers And Fresh Basil Recipe","pizza base,basil leaves,parmesan cheese,mozzarella cheese,garlic salt,fresno pepper,extra virgin olive oil,whole eggs,homemade pizza pasta sauce,red bell pepper,mixed herbs"
Gorikayi Palya Recipe - Karnataka Style Gawar Phali Sabzi,"coconut oil,sprig curry leaves,fresh coconut,tamarind,jaggery,gawar phali,sesame seeds"
Zucchini Zoodles with mushroom Meatball Recipe,"green zucchini,extra virgin olive oil,salt pepper,lemon juice,extra virgin olive oil,sprig basil leaves,dried oregano,honey,button mushrooms,salt pepper,button mushrooms,whole wheat bread crumbs,whole wheat flour,salt pepper,sprig dried oregano,sprig dried thyme leaves,sprig basil leaves,sprig parsley leaves,extra virgin olive oil,cumin powder,kala chana"
Pakistani Style Tinde Ki Tarkari Recipe - Apple Gourds Cooked With Tomatoes,"red chilli flakes,tinda,sprig coriander"
Fruit Chili Chutney - Andhra Red Chili Chutney Recipe,"fresh red chillies,tamarind paste,gingelly oil,methi powder"
Vendakkai Poriyal Recipe (South Indian Style Okra Stir Fry Spiced With Sambar Powder),"sambar powder,sprig curry leaves,bhindi"
Raw Banana Dosa Recipe,"idli dosa batter,raw banana,fresh coconut"
Traditional Steamed Modak Recipe (Ukadiche Modak With Rice flour),"rice flour,. fresh coconut,jaggery,rice flour,nutmeg powder,poppy seeds,raisins,chironji,pistachios,cardamom,badam"
Cabbage Besan Fry Recipe,"ginger garlic paste,cabbage,gram flour,sprig coriander"
Homemade Tagliatelle Pasta with Capers and Bell peppers Recipe,"whole wheat flour,whole egg,extra virgin olive oil,capers,red chilli flakes,dried oregano,fresh thyme leaves,salt pepper,purpose flour,red bell pepper"
Jeera Rice Recipe - Cumin And Ghee Flavored Rice,rice
Broccoli With Lemon Butter Sauce Recipe,"broccoli,butter,lemon juice,whole black peppercorns,fresh herbs"
Paasi Paruppu Beans Poriyal Recipe - Moong Dal & French Beans Stir Fry,"yellow moong dal,fresh coconut,sprig curry leaves,green beans"
Buckwheat and Oatmeal Chocochip Pancakes Recipe (Eggless),"oats flour,cocoa powder,chocolate chips,vanilla extract,maple syrup,peanut butter,chocolate chips,mixed fruits,buckwheat flour,flax seed powder"
Banana Cream Pie Recipe,"ripe bananas,cocoa powder,butter,icing sugar,chilled water,milk,egg yolks,corn flour,caster sugar,vanilla extract,icing sugar,vanilla extract,purpose flour,purpose flour,heavy whipping cream,or non"
Raw Jackfruit Kofta Curry Recipe - Kathal Kofta Curry Recipe,"fresh coconut,raisins,ginger,garam masala powder,fresh cream,jackfruit raw,purpose flour,cardamom powder,cumin powder,cinnamon stick"
Farali Aaloo Pattice Recipe,"arrowroot flour,fresh coconut,lemon,potatoes,roasted peanuts"
Himachali Pahari Mutton Recipe,"mutton,garam masala powder,bay leaf,black cardamom,cardamom,cloves,cloves,curd"
Lagan Ki Machli Recipe - Delicious Pomfret Curry,"pomfret fish,ginger,garlic,lemon juice,star anise,garam masala powder,homemade tomato puree,inch cinnamon stick,cumin powder,curd,sprig coriander"
Gujarati Style Multigrain Masala Kadak Puri Recipe - Masala Mathri,"whole wheat flour,rice flour"
Ringan Methi Nu Shaak Recipe - Gujarati Style Eggplant & Fenugreek Leaves Sabzi,"jaggery,small brinjal,methi leaves,cumin powder,amchur"
Dahi Baingan Recipe - Brinjal In Curd Based Gravy,"garam masala powder,fennel powder,black urad dal,curry leaves,ginger garlic paste,brinjal,curd,gram flour,sesame seeds,cloves,cardamom,bay leaf,inch cinnamon stick"
Assamese Saaru Maas Diya Adar Jhol Recipe - Fish In Ginger Gravy,"fish,corn flour,panch phoran masala,mustard oil,bay leaf"
Manipuri Style Sana Thongpa Recipe-Paneer and Green Beans in Milk Gravy Recipe,"ginger garlic paste,milk,mustard oil,paneer,green beans,sprig coriander"
Chocolate Honeycomb Bun Recipe,"milk,active dry yeast,butter,chocolate chips,honey,butter,saffron strands,purpose flour"
Pomegranate And Chia Seeds Yogurt Smoothie Recipe,". fresh pomegranate fruit kernels,chia seeds,honey,fresh pomegranate fruit kernels,chia seeds,curd"
Creamy Potato Egg Salad Recipe with Herbs,"whole eggs,dill leaves,gherkins,sour cream,black pepper powder,red chilli flakes,lemon juice,potatoes"
Brinjal Mor Kuzhambu Recipe,"tamarind water,rice,fresh coconut,black urad dal,curry leaves,brinjal,chana dal,arhar dal,curd,methi seeds"
Arbi Ke Kebab Recipe (Spicy Colocasia Kebab) Recipe,"whole black peppercorns,chaat masala powder,whole wheat bread crumbs,colocasia root,sprig coriander,almond meal,cabbage,ajwain,cumin powder,cinnamon powder,gram flour"
No Bake Rice Mawa Cake Recipe,"saffron strands,milk,pistachios,poha,khoya,cardamom powder"
Gravel-til Bhakri Recipe (Cesme Crusted Barge Flobard),"lukewarm water,bajra flour,sesame seeds"
Doodanche Fov Recipe (Goan Style Milk Beaten Rice/Poha In Milk),"milk,poha,cardamom powder"
Recipe Wheat Phulka Yeast- Diabetic Friendly Baker's Yeast,"whole wheat flour,ragi flour"
Karnataka Style Bassaru Palya Recipe - Toor Dal And Dill Leaves Stir Fry,"dill leaves,white urad dal,sprig curry leaves,arhar dal,chana dal"
Karwar Style Phodni Phov Recipe- Red Rice Poha With Cashew Nuts,"fresh coconut,cashew nuts,white urad dal,sprig curry leaves,lemon juice,red poha,chana dal"
Chinese Bhel Recipe - Crispy Noodle Salad,"hakka noodles,red chilli sauce,cabbage,green bell pepper,carrot,sweet chutney,date  tamarind,green chutney,coriander  mint"
Cauliflower And Peas Bhurji Recipe,"cauliflower,green peas"
Murgh Ajmeri Recipe,"chicken,garam masala powder,fresh cream,cashew nuts,ginger,garlic,mustard oil,lemon juice,whole black peppercorns,mint leaves,curd,bay leaves,cloves,black cardamom,cardamom,inch cinnamon stick,mace,ajwain"
Eggless Banana Pressure Cooker Cake Recipe,"ripe bananas,vanilla extract,baking powder,baking soda,milk,purpose flour,cinnamon powder,curd"
Waldorf Salad Recipe,"apple,celery,red grapes,walnuts,fresh cream,salt pepper,hung curd"
Vegan Cashew Mayonnaise Recipe,"cashew nuts,lemon juice,apple cider vinegar,clove garlic,mustard sauce,date syrup,extra virgin olive oil,dill leaves"
Aam Ki Kheer Recipe - Mango Coconut Payasam Recipe,"coconut milk,palm sugar,fresh coconut,mango,cardamom powder,badam"
Buddha's Delight Recipe (Thin Rice Noodles With Vegetables),"tofu,black pepper powder,soy sauce,honey,ginger,corn flour,canola oil,baby corn,bamboo shots,mixed vegetables,sesame,rice vermicelli noodles"
Bhugi Dal Paratha Recipe - Moong Dal Paratha,"yellow moong dal,whole wheat flour,cumin powder"
Thai Cucumber Relish Recipe,"lebanese cucumber,fresh red chillies,shallots,vinegar"
Navel Orange Marmalade Recipe,"lb oranges,lemon juice,orange zest"
Kashmiri Style Gushtaba Recipe - Mutton Kofta in Curd,"mutton kheema,milk,dry ginger powder,cardamom powder,curd,bay leaf,inch cinnamon stick,cloves,fennel seeds"
Gujarati Wadi Casserole Recipe,"basmati rice,sprig curry leaves,white urad dal,lemon juice,badi,chana dal"
Raw Banana Cutlet Recipe - No Onion No Garlic Jain Cutlet,"raw banana,fresh coconut,black pepper powder,chaat masala powder,cumin powder"
Carrot Paruppu Usili Recipe - Steamed Lentils Crumbled With Carrots,"sprig curry leaves,carrots,arhar dal,fennel seeds"
Rose Buns With Stuffed Mushroom Recipe,"vivatta maida,active dry yeast,lukewarm water,button mushrooms,ginger garlic paste"
Scrambled Paneer Sandwich Recipe,"fresh coconut,curry leaves,cashew nuts,whole wheat brown bread,paneer,kalonji"
Stuffed Chicken Recipe With Mixed Vegetables,"chicken,tandoori masala,lemon,homemade tomato puree,tomato ketchup,fresh cream,cashew nuts,chaat masala powder,black pepper powder,curd,potato,carrot,green peas"
Eggs Benedict With Caramelised Onion And Hollandaise Sauce Recipe,"whole wheat brown bread,butter,black pepper powder,whole eggs,egg yolks,lemon juice,butter"
Guava And Papaya Mimosa Drink Recipe,"guava juice,papaya juice,champagne,lemon,guava,papaya"
Crunchy Vegetables Tortilla Wrap Recipe,"tortillas,yellow zucchini,cucumber,black pepper powder,red bell pepper,carrots,hung curd,sprig coriander"
Veggie Pearl Millet Tart Recipe,"whole wheat flour,baking powder,butter,chilled water,spinach,britannia cream cheese,dried oregano,black pepper powder,mozzarella cheese,red chilli flakes,bajra flour,paneer,red yellow green bell peppers"
Bharwa Baingan Aur Pyaaz Ki Sabzi Recipe - Roz Ka Khana With Figaro Olive Oil,"figaro pure olive oil,garlic,jaggery,small brinjal,amchur"
Skillet Potato And Eggs Recipe,"sweet potatoes,extra virgin olive oil,italian seasoning,whole eggs,parsley leaves,mozzarella cheese,salt pepper,potatoes,spring onion,bulb  greens"
Dahi Suran Ki Sabzi Recipe (Stir Fried Yam in Dry Yogurt Curry Recipe),"garam masala powder,elephant yam,curd,amchur,sprig coriander"
Aloo Tikki Stuffed Pita Sandwich Recipe,"mini pita breads,iceberg lettuce,cherry tomatoes,white vinegar,fresh cream,extra virgin olive oil,salt pepper,aloo tikki,sprig coriander,sprig mint leaves"
Delicious Spicy Chyawanprash Cookies Recipe,"whole wheat flour,butter,baking powder,dry ginger powder,chyawanprash,milk,caster sugar,flax seed powder,brown sugar"
Homemade Paneer Recipe,"milk,lemon juice"
Avarekalu Tikki Recipe,"sweet potatoes,ginger,garam masala powder,avarekalu,potatoes,cumin powder,mint leaves"
Egg Stuffed Paratha Recipe,"whole wheat flour,whole eggs,black pepper powder"
Kottambari Tambuli Recipe - Udupi Style Raw Coriander Kadhi,"fresh coconut,white urad dal,curd"
Andhra Style Pappu Charu Recipe (Lentil Soup Style Curry),"tamarind paste,curry leaves,arhar dal"
Coconut Banana Oatmeal Porridge Recipe,"ripe bananas,fresh coconut,honey,milk,instant oats"
Cucumber Sandwich With Yogurt Dill Spread Recipe,"whole wheat brown bread,cucumber,dried oregano,red chilli flakes,fresh thyme leaves,sprig dill leaves,hung curd"
Chettinad Beetroot Kurma Recipe,"beetroots,ginger,garlic,sprig curry leaves,star anise,cashew nuts,green peas,curd,bay leaf,cloves,cardamom,cinnamon stick,fennel seeds"
Palak Chole Recipe (Spinach & Chickpea Curry),"garam masala powder,kabuli chana,spinach leaves,bay leaves,cardamom"
Spinach Stir Fry Recipe With Garlic,"butter,black pepper powder,spinach leaves,mixed herbs"
Chickpea Tamarind Broth Recipe - Tolerant South Indian Gala Sana Surri,"tamarind,sambar powder,jaggery,fresh coconut,sprig curry leaves,kala chana,methi seeds,sesame"
Karnataka Style Sabsige Soppu Akki Rotti (Dill leaves and flattened Rice Bread Recipe),"rice flour,dill leaves,poha"
Corn And Bell Pepper Sandwich Recipe,"whole wheat brown bread,sweet corn,parsley leaves,red chilli flakes,hung curd,red bell pepper"
Enduri Pitha With Mango Twist Recipe,"rice flour,baking soda,fresh coconut,banana leaf,mango,fennel seeds"
Aloo Gajar Matar Sabzi Recipe,"carrots,garam masala powder,mustard oil,potatoes,green peas,ajwain"
Tangy Tomato Pie Tart Recipe,"cheese,red chilli flakes,extra virgin olive oil,butter,chilled water,mixed herbs,purpose flour"
Pudlangai Porial Recipe - Snake Gourd Porial Recipe,"fresh coconut,curry leaves,snake gourd,cumin powder"
Posto Chicken Recipe - Bengali Chicken In Poppy Seed Paste,"chicken,poppy seeds,garam masala powder,mustard oil,lemon juice,ginger,garlic,mustard oil,bay leaf,cloves,cardamom,inch cinnamon stick,fennel seeds"
Kasuri Methi Mach Recipe - Dry Fenugreek Flavoured Fish Curry,"rohu fish,ginger,garlic,garam masala powder,mustard oil,curd,kasuri methi"
Kerala Style Chemmeen Moilee Recipe - Prawn Curry,"shrimps,whole black peppercorns,sprig curry leaves,coconut milk,lemon juice,coconut oil,pearl onions,inch cinnamon stick,cardamom"
Mullu Murukku Recipe - Chakli Recipe - South Indian Snack,"rice flour,fresh cream,sesame seeds"
Thai Fish Cake Recipe,"basa fish,whole egg,garlic,galangal,fish sauce,thai red curry paste,lemon juice,paprika powder,corn flour,thai red chilli"
Millet Potato Paratha Recipe,"whole wheat flour,ginger,chaat masala powder,lukewarm water,bajra flour,potatoes,methi leaves,ajwain"
Crunchy Carrot Peanut Raita Recipe - Gajar Moongphali Raita,"kashmiri red chilli powder,carrot,curd,raw peanuts"
Egg In A Biscuit Recipe,"baking powder,baking soda,salted butter,cheese,whole eggs,purpose flour,curd"
Baked Potato & Peas Samosa With Phyllo Pastry Recipe,"garam masala powder,kashmiri red chilli powder,phyllo sheets,butter,potatoes,green peas,cinnamon powder,amchur"
Eggless Baked Chocolate Chip Coins Recipe,"whole wheat flour,vivatta maida,caster sugar,chocolate chips,vanilla extract,baking soda,baking powder,milk,butter"
Whole Wheat Homemade English Muffins Recipe,"whole wheat flour,active dry yeast,butter,milk,corn meal,purpose flour"
Mushroom Biryani Recipe,"basmati rice,button mushrooms,ginger,garlic,coconut milk,garam masala powder,inch cinnamon stick,cardamom,bay leaf"
Gawar Ki Sabzi Recipe - Cluster Beans Curry,"gawar phali,ajwain,sprig coriander"
Curried Couscous Recipe,"couscous,spinach,celery,curry powder,paprika powder,extra virgin olive oil,green beans,green peas,curd"
Chilli Egg In Soya Sauce Recipe,"whole eggs,ginger paste,corn flour,soy sauce,black pepper powder,ginger,spring onion greens,dark soy sauce,corn flour,green bell pepper,sesame"
Kale & Leeks Frittata Recipe,"whole eggs,parmesan cheese,provolone cheese,fresh thyme leaves,dried oregano,leek,extra virgin olive oil,clove garlic,ricotta cheese,kale,salt pepper"
Moong Sprouts And Sweet Potato Cutlet Recipe,"green moong sprouts,sweet potato,ginger garlic paste,garam masala powder,instant oats,cumin powder,amchur"
Andhra Style Allam Pachadi (Ginger Chutney Recipe),"white urad dal,sprig curry leaves,chana dal"
Croquettes Recipe With Bhetki Fish,"bhetki fish,tomato ketchup,black pepper powder,whole egg,whole wheat bread crumbs,bay leaves,inch cinnamon stick,cardamom,potatoes,purpose flour"
Sagu Masala Dosa Recipe,"white urad dal,red matta rice,dosa rice,rice flour,turnips,tamarind paste,jaggery,byadagi dried chillies,guntur dried chillies,fresh coconut,curry leaves,byadagi dried chillies,fresh coconut,tamarind paste,poha,chana dal,arhar dal,methi seeds,carrots,green beans,kaddu,chana dal,inch cinnamon stick,roasted gram dal"
Vegetable Coconut Milk Soup With Vermicelli Noodles Recipe,"vegetable stock,coconut milk,lemongrass,fresh red chillies,coconut sugar,lemon,soy sauce,green zucchini,tofu,button mushrooms,cherry tomatoes,carrot,sprig coriander,rice vermicelli noodles"
Methi Pakoras Recipe,"rice flour,gram flour,methi leaves,ajwain"
Spinach Dates & Banana Smoothie Recipe,"sprig spinach,ripe bananas,chia seeds,dates,ice cubes,badam"
Milagu Jeera Curry Leaf Sadam Recipe,"cooked rice,white urad dal,whole black peppercorns,curry leaves,raw peanuts,sesame"
Chettinad Egg Paniyaram Recipe | Rise Paniyaram Recipe,"idli dosa batter,whole eggs,sprig curry leaves,whole black pepper corns,fresh coconut,sprig mint leaves,sesame"
Healthy Vegetable Poha Cutlet Recipe -Vegetable Beaten Rice Patty,"black pepper powder,garam masala powder,chaat masala powder,lemon juice,whole wheat bread crumbs,poha,potatoes,paneer,carrot,purpose flour,sprig coriander"
Evergreen Smoothie Recipe,"rock salt,lemon juice,spinach leaves,bottle gourd,curd,mint leaves,ajwain,amla"
Rasgulla custard pudding recipe,"rasgulla,rasgulla syrup,milk,custard powder,rose water,pistachios"
Masala Vada Curry Recipe - Chana Dal Vada Curry Recipe,"curry leaves,inch cinnamon stick,whole black pepper corns,sprig curry leaves,homemade tomato puree,chana dal,fennel seeds,cloves,cardamom,bay leaf,sprig mint leaves"
Vanilla Flavored Kunafa Recipe,"kunafa pastry,butter,vanilla extract,milk,corn flour,vanilla extract"
